,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z
0,55625816.0,-0.08379706,-0.050278235,9.26556015,-0.103653908,0.020784073,-0.011457887,,,,,,
1,55628456.0,-0.08379706,-0.047884032,9.270348549,-0.103653908,0.021050537,-0.011457887,,,,,,
2,55631096.0,-0.086191259,-0.047884032,9.272743225,-0.103653908,0.021050537,-0.011191424,,,,,,
3,55633768.0,-0.086191259,-0.050278235,9.272743225,-0.103653908,0.021050537,-0.011191424,,,,,,
4,55636420.0,-0.086191259,-0.050278235,9.279925346,-0.103653908,0.021316998,-0.011191424,,,,,,
5,55639060.0,-0.088585466,-0.050278235,9.279925346,-0.103653908,0.021316998,-0.011457887,,,,,,
6,55641696.0,-0.088585466,-0.050278235,9.277531624,-0.103653908,0.021316998,-0.011457887,,,,,,
7,55644344.0,-0.090979666,-0.052672438,9.279925346,-0.103920363,0.021050537,-0.011457887,,,,,,
8,55646984.0,-0.090979666,-0.057460841,9.275136948,-0.103653908,0.021316998,-0.011457887,,,,,,
9,55649680.0,-0.090979666,-0.059855044,9.275136948,-0.103653908,0.021316998,-0.011457887,,,,,,
10,55652320.0,-0.090979666,-0.062249243,9.275136948,-0.103653908,0.021050537,-0.011724349,,,,,,
11,55654960.0,-0.088585466,-0.062249243,9.275136948,-0.103920363,0.021050537,-0.011724349,,,,,,
0,44959588.0,,,,,,,0.009576807,-0.138863698,10.62786102,0.104453288,0.010658499,-0.015188362
1,44962276.0,,,,,,,0.011971008,-0.1316811,10.63264942,0.104453288,0.010658499,-0.014921899
2,44964944.0,,,,,,,0.01436521,-0.1316811,10.6302557,0.104186833,0.010658499,-0.014921899
3,44967624.0,,,,,,,0.016759412,-0.134075299,10.6302557,0.104186833,0.010658499,-0.015188362
4,44970300.0,,,,,,,0.01436521,-0.134075299,10.6302557,0.104186833,0.010658499,-0.015188362
5,44973032.0,,,,,,,0.01436521,-0.134075299,10.6302557,0.104186833,0.010658499,-0.015188362
6,44975704.0,,,,,,,0.011971008,-0.134075299,10.62786102,0.103920363,0.010658499,-0.015188362
7,44978388.0,,,,,,,0.009576807,-0.1316811,10.6254673,0.103920363,0.010658499,-0.015188362
8,44981072.0,,,,,,,0.011971008,-0.1316811,10.6254673,0.103920363,0.010658499,-0.015188362
9,44983792.0,,,,,,,0.007182605,-0.1316811,10.62786102,0.104186833,0.010658499,-0.015188362
10,44986460.0,,,,,,,0.007182605,-0.1316811,10.62786102,0.104453288,0.010658499,-0.015188362
11,44989140.0,,,,,,,0.007182605,-0.1316811,10.6254673,0.104186833,0.010658499,-0.015188362
