timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1688391193108187,-5,-8,-7,-7,-3,-3,-2,-2
1688391193108187,-3,-9,-27,-65,-1,-8,-4,-2
1688391193109182,-3,-5,1,0,-12,-1,-2,-3
1688391193109182,7,17,49,60,16,2,2,3
1688391193109182,0,-2,-43,-10,-23,-5,-1,0
1688391193109182,0,0,23,40,-3,-12,2,0
1688391193114184,-6,1,-5,-2,89,12,-4,-5
1688391193114184,-8,-7,-37,-35,-13,-11,-4,-9
1688391193119173,4,10,3,-3,9,0,1,1
1688391193119173,-2,1,22,37,13,5,1,1
1688391193131389,3,4,7,16,-38,-7,1,1
1688391193131389,-2,-4,6,1,0,-2,0,-1
1688391193134412,0,-2,2,-19,18,-7,0,-1
1688391193134412,-1,-3,-3,-16,-31,1,-2,0
1688391193153172,-1,-4,2,-4,-11,-6,0,-1
1688391193153172,3,1,-8,-13,3,3,-4,2
1688391193165213,0,-2,6,-4,-15,-1,-1,-2
1688391193165213,0,2,-7,6,15,0,0,0
1688391193173341,0,-2,-7,-4,-13,-5,0,0
1688391193173341,2,0,14,8,-3,-4,1,1
1688391193179088,-1,1,7,11,8,1,0,-1
1688391193179088,-1,-1,-4,5,-3,-4,-1,-3
1688391193190715,-1,2,2,-4,2,0,0,0
1688391193190715,-2,-4,-13,-14,-5,-2,-3,1
1688391193194775,0,-4,1,5,-3,2,4,0
1688391193194775,-2,-4,-8,-9,3,-1,-2,-1
1688391193243129,-2,1,0,-7,2,0,-2,1
1688391193243129,2,-3,-2,-5,-1,-6,-2,-3
1688391193243129,6,18,4,6,9,-5,-3,1
1688391193243129,1,-2,-6,-20,-5,0,-1,-1
1688391193244132,-2,-2,-13,24,-7,-7,-1,-3
1688391193244132,-3,-1,4,-1,3,2,0,-1
1688391193247126,-5,-11,-22,15,-3,8,1,0
1688391193247126,1,4,7,-24,-2,-7,-4,-2
1688391193254229,-2,-9,-23,37,-2,-5,0,-1
1688391193254229,2,5,21,37,-12,-6,1,0
1688391193262177,-3,-6,22,-62,-25,-12,-3,-3
1688391193262177,0,8,-65,25,4,9,-1,1
1688391193270401,-4,-14,-37,-16,8,29,0,-3
1688391193270401,-11,-18,-85,-80,-93,-99,-27,-13
1688391193285121,5,19,86,121,-5,-40,-1,-4
1688391193285121,-6,-15,-66,3,-70,49,-3,-6
1688391193292116,10,17,50,12,86,-84,-1,6
1688391193292116,-9,-17,-49,-93,-44,51,3,-5
1688391193299724,8,7,-4,57,-13,46,11,11
1688391193299724,-17,-22,-23,-38,-94,-1,-9,-12
1688391193314181,-4,-2,-2,-17,25,6,-7,-3
1688391193314181,7,8,33,-3,-44,21,17,10
1688391193322251,-2,-13,-53,-114,8,-43,-9,-1
1688391193322251,11,16,70,107,-22,0,14,10
1688391193337188,4,7,12,21,-32,30,10,3
1688391193337188,3,3,6,10,93,47,2,3
1688391193345424,1,0,-14,0,-125,7,6,4
1688391193345424,1,6,27,-46,65,16,-9,-7
1688391193352178,-8,-10,-16,-51,4,-4,-8,-3
1688391193352178,-8,-2,14,97,60,-27,-7,-3
1688391193359699,9,6,3,-96,-70,-66,5,10
1688391193359699,-16,-21,-22,35,124,50,-15,-15
1688391193374721,0,8,24,22,-50,16,3,-8
1688391193374721,-1,0,1,71,-55,24,10,4
1688391193382177,8,18,48,14,30,-28,5,9
1688391193382177,3,5,30,-44,38,-56,1,-1
1688391193390452,-2,0,-56,46,-75,-58,-7,-3
1688391193390452,-7,-5,14,87,31,28,-7,-3
1688391193405505,-13,-14,-28,12,71,5,-14,-13
1688391193405505,14,16,45,1,-126,7,14,16
1688391193412179,-15,-24,-34,-77,127,32,-22,-16
1688391193412179,-4,-3,15,-102,-87,0,2,-2
1688391193419210,11,16,-10,89,-67,51,14,8
1688391193419210,-13,-10,-18,45,78,29,-13,-11
1688391193434114,10,3,-22,-42,-46,-33,3,12
1688391193434114,10,18,-15,-44,84,-11,-4,1
1688391193442176,-24,-39,-81,-103,-19,64,-12,-17
1688391193442176,9,17,73,69,-28,-11,9,8
1688391193450406,6,14,37,93,14,60,4,3
1688391193450406,4,8,-1,33,-49,-59,-5,1
1688391193473574,6,5,36,55,-66,3,21,9
1688391193473574,9,7,-1,20,126,-4,-7,2
1688391193475268,-13,-18,-13,-128,-127,-27,-4,-10
1688391193475268,7,0,-32,111,-88,-48,7,7
1688391193479303,-11,-19,2,-50,36,19,-21,-11
1688391193479303,-6,-5,-27,-73,-73,12,-8,-6
1688391193494457,1,-1,11,-6,-11,4,5,5
1688391193494457,1,8,-11,-128,21,73,6,-1
1688391193502178,-2,-9,2,82,-41,-27,-12,0
1688391193502178,3,2,-28,-93,3,-45,16,7
1688391193511278,-8,-10,19,-35,55,-50,-8,-7
1688391193511278,2,-5,5,4,105,27,-7,-4
1688391193526120,-7,-2,9,66,106,-24,-12,-9
1688391193526120,-3,-6,1,-32,-38,-10,7,4
1688391193532058,8,10,17,-47,-128,31,15,9
1688391193532058,-3,-6,14,84,41,-27,-9,-5
1688391193539720,-6,7,-5,-5,50,-67,0,-5
1688391193539720,7,3,-15,98,-61,-19,7,4
1688391193554243,3,-9,-16,-73,67,39,-7,-1
1688391193554243,-5,0,-11,17,-57,15,0,-2
1688391193562178,0,-1,2,1,-43,10,4,1
1688391193562178,-9,-21,-27,13,19,-32,-7,-9
1688391193570306,8,14,22,43,-19,21,7,7
1688391193570306,-2,-3,2,-19,24,-11,0,0
1688391193585374,3,-1,-35,-34,30,39,1,-2
1688391193585374,1,3,-17,-118,-14,4,1,2
1688391193592170,8,13,22,127,-44,-48,2,4
1688391193592170,-4,-2,10,-109,99,6,-5,-5
1688391193599323,-2,-3,3,-21,-87,4,4,-1
1688391193599323,0,-5,-1,26,-50,-23,-1,2
1688391193614186,2,4,-15,-60,5,13,6,1
1688391193614186,-2,0,3,93,7,0,-7,0
1688391193622176,-1,-6,-6,-74,31,-37,-4,-4
1688391193622176,1,3,9,-5,14,-7,-2,-1
1688391193630542,-1,10,38,38,11,29,3,-1
1688391193630542,0,6,24,12,-45,-28,-5,2
1688391193645399,1,2,-10,7,52,27,2,-3
1688391193645399,-1,0,10,18,-1,5,-8,-4
1688391193652118,-6,-7,-6,8,11,-8,5,-2
1688391193652118,5,2,3,-24,-18,-1,1,1
1688391193659113,-1,-2,1,7,12,10,19,2
1688391193659113,-3,-1,1,-2,4,-5,-32,-4
1688391193674151,-4,-5,-12,2,-12,-4,5,-6
1688391193674151,-5,-7,-1,-24,-6,6,-4,-5
1688391193681595,-19,-21,1,11,12,15,17,0
1688391193681595,11,6,8,15,-9,10,-31,2
1688391193690425,15,43,5,10,26,7,22,2
1688391193690425,-1,-4,5,-2,-17,1,1,-6
1688391193705319,11,16,7,3,2,-4,-1,8
1688391193705319,-29,-22,0,-5,0,-4,3,-2
1688391193712179,-3,-24,-14,2,1,-3,-9,-4
1688391193712179,-20,-27,-3,-11,-11,-4,-18,-2
1688391193727186,7,8,-1,2,-3,7,11,2
1688391193727186,2,-7,-1,-5,6,5,-3,-5
1688391193734699,-8,-1,-1,7,5,-5,-21,-3
1688391193734699,14,-2,2,1,-10,10,31,4
1688391193742179,-3,-1,1,2,8,2,-23,-4
1688391193742179,3,-8,-1,0,-3,-9,17,-1
1688391193750427,-8,-2,-3,2,2,1,7,-4
1688391193750427,-15,-43,-5,-8,-8,-5,-22,-2
1688391193765180,5,20,0,0,0,4,5,2
1688391193765180,1,2,-2,-1,1,-1,-14,1
1688391193772256,10,-12,-1,5,2,2,26,-4
1688391193772256,-38,15,0,-6,-4,-6,-8,5
1688391193787187,3,-21,-5,-1,0,14,19,-2
1688391193787187,-14,5,-1,3,-3,-1,-3,-4
1688391193794255,12,-5,-5,-2,3,-10,-10,0
1688391193794255,16,-10,1,2,-1,5,8,-4
1688391193802179,-1,22,7,3,2,-7,-16,2
1688391193802179,-3,5,-1,-1,0,6,25,2
1688391193810448,-4,-21,-8,-4,-5,4,-2,2
1688391193810448,16,42,2,-4,-1,-10,-4,1
1688391193824724,-2,-19,0,-4,-4,-5,-9,-3
1688391193824724,15,13,0,-1,2,1,8,2
1688391193833074,-16,-9,-1,1,-1,-3,-16,-2
1688391193833074,12,16,-2,0,-4,16,11,-1
1688391193849343,22,-12,-1,-1,1,-1,0,-7
1688391193849343,-62,2,2,1,2,-5,-16,5
1688391193854341,-15,-35,-9,-3,-4,-5,-14,-6
1688391193854341,22,49,14,5,1,6,23,7
1688391193862183,12,6,5,4,2,-1,-10,6
1688391193862183,21,-2,-5,-4,-2,2,14,-7
1688391193871197,5,9,1,1,2,3,-10,0
1688391193871197,-44,-25,-7,-5,1,-14,-10,-3
1688391193884792,-1,15,2,0,-2,5,3,-6
1688391193884792,19,6,3,2,2,2,10,5
1688391193893199,-23,9,3,0,1,-17,-9,-8
1688391193893199,66,-7,-5,-3,-2,2,-20,8
1688391193907211,-5,-32,-7,-3,-6,-13,-20,-16
1688391193907211,-69,11,-2,-8,-3,3,16,6
1688391193914177,20,-29,-1,8,2,1,0,-46
1688391193914177,28,11,4,0,1,4,20,65
1688391193922251,-83,-17,-17,-2,-1,-11,-14,-85
1688391193922251,103,24,12,2,-3,16,-1,66
1688391193930357,-42,-1,-9,0,10,26,-32,109
1688391193930357,-24,-24,2,0,-8,-6,7,-106
1688391193944169,-7,27,2,-6,-13,-41,-18,34
1688391193944169,28,8,2,-3,12,55,10,52
1688391193953183,18,49,2,-9,-35,2,-20,-22
1688391193953183,5,-12,-6,-2,4,-23,84,54
1688391193967083,-72,-15,0,2,6,-9,-55,60
1688391193967083,47,-19,-1,11,-12,-11,-79,-82
1688391193982910,36,56,16,19,30,-10,33,53
1688391193982910,-30,71,26,1,15,44,101,-55
1688391193982910,21,-4,-4,0,11,11,-56,-42
1688391193982910,72,-8,3,5,-15,-21,-29,127
1688391193990904,1,-32,-7,-13,-14,-76,-1,-32
1688391193990904,-48,28,0,-2,-10,-27,-94,-36
1688391194004215,3,4,3,12,14,92,119,-43
1688391194004215,-5,-4,-9,-9,-4,-10,-23,-60
1688391194013183,14,-8,-9,-5,-10,-1,9,-55
1688391194013183,-58,-54,-6,8,4,23,-35,7
1688391194027899,127,75,12,-16,-5,8,-18,96
1688391194027899,-114,-9,3,7,3,-9,82,-70
1688391194034279,50,-27,1,21,15,13,-50,44
1688391194034279,-9,30,14,-6,1,25,32,74
1688391194041747,35,-24,3,4,4,9,5,48
1688391194041747,-44,7,5,14,15,12,-27,12
1688391194050454,47,73,13,-3,-8,-38,-63,87
1688391194050454,11,-29,-15,-8,-27,2,-20,-101
1688391194064208,-60,-21,8,12,1,-5,69,-104
1688391194064208,-10,19,-23,-7,9,49,33,28
1688391194073180,-96,26,55,39,33,26,33,-63
1688391194073180,83,9,-18,-19,-26,1,-31,-30
1688391194087095,15,8,3,-3,1,-10,53,85
1688391194087095,-1,-29,-7,-10,-7,-25,-32,-128
1688391194094090,30,-4,10,5,9,26,127,74
1688391194094090,11,-12,4,4,16,-34,17,-4
1688391194103181,-17,3,9,-6,-1,-28,-74,-24
1688391194103181,6,-13,-1,1,3,7,60,127
1688391194119899,-2,-28,-26,-28,-5,22,-22,-47
1688391194119899,-6,-19,-14,-4,4,29,-44,-9
1688391194120190,-2,-28,-26,-28,-5,22,-22,-47
1688391194120190,-6,-19,-14,-4,4,29,-44,-9
1688391194121198,-83,-17,-17,-2,-1,-11,-14,-85
1688391194121198,103,24,12,2,-3,16,-1,66
1688391194126214,-42,-1,-9,0,10,26,-32,109
1688391194126214,-24,-24,2,0,-8,-6,7,-106
1688391194127213,-7,27,2,-6,-13,-41,-18,34
1688391194127213,28,8,2,-3,12,55,10,52
1688391194128213,81,46,23,10,10,8,1,18
1688391194128213,-20,-15,-8,-10,11,-51,38,-70
1688391194133189,-1,-14,-16,-25,-29,-25,-36,-108
1688391194133189,-42,-19,-26,8,16,-25,6,-10
1688391194147144,-1,-14,-4,-14,-30,-1,-73,-28
1688391194147144,-24,13,2,-26,-15,1,-17,7
1688391194154207,38,-18,-6,5,12,13,10,12
1688391194154207,-22,21,0,5,8,-37,-4,19
1688391194162312,-32,-26,-17,-3,-10,-46,-33,-58
1688391194162312,-11,18,12,-3,-33,-74,-2,71
