timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1688391479100213,-2,3,1,1,0,1,-3,-2
1688391479109207,-2,-4,-4,-3,-2,-9,-5,-2
1688391479109207,0,2,-2,1,-1,-1,6,-2
1688391479123200,-2,-1,-4,-5,-2,0,-2,1
1688391479123200,-2,-4,-2,-3,-3,-2,0,0
1688391479132196,-1,-4,-3,3,-4,2,-3,-1
1688391479132196,0,0,-2,-12,2,10,3,1
1688391479138192,-4,-5,-15,12,-4,-21,-8,-3
1688391479138192,-3,-10,-49,-84,-12,-4,5,-2
1688391479154182,14,26,76,100,23,0,-7,9
1688391479154182,-4,-4,-10,-4,-3,-13,-4,-4
1688391479160178,0,-2,-6,-6,-2,9,4,2
1688391479160178,-4,-8,5,-12,-4,2,5,-3
1688391479169175,-6,-8,-23,-26,-8,-16,-7,-4
1688391479169175,-1,-2,-6,-3,-1,5,2,0
1688391479183167,-1,-1,7,1,0,4,-17,-2
1688391479183167,1,1,1,13,0,-4,-5,0
1688391479190161,-4,-3,-7,-19,-6,-8,5,-4
1688391479190161,2,2,6,15,4,-2,-3,1
1688391479198156,-4,-1,-6,-7,-4,-1,3,-1
1688391479198156,0,-5,-2,7,-1,1,-3,0
1688391479213147,-4,-9,-50,-73,-15,-1,0,-2
1688391479213147,9,18,49,54,19,-15,2,5
1688391479220144,0,-3,17,43,0,20,1,-1
1688391479220144,-2,-3,29,17,0,0,-1,-2
1688391479243134,-2,-3,-59,-47,-9,1,0,-4
1688391479243134,-5,-12,-27,-23,-3,-2,-2,-3
1688391479244133,-4,-9,-83,-51,-7,-8,-2,-5
1688391479244133,13,31,126,127,34,26,6,6
1688391479252127,6,15,73,28,26,-1,4,3
1688391479252127,-8,-24,-47,-34,-49,-13,-9,-2
1688391479258123,-7,-12,-79,-88,-19,10,2,-2
1688391479258123,-13,-26,-101,-89,1,-60,-9,-10
1688391479272788,1,11,79,56,13,27,3,0
1688391479272788,1,-1,-29,-35,-25,9,-10,4
1688391479279784,11,30,69,99,47,-24,11,2
