timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1688388767814884,2,2,3,1,-3,-4,0,1
1688388767814884,-2,-5,-5,-6,3,8,-3,-1
1688388767815883,1,0,1,2,-12,-14,1,1
1688388767815883,3,2,0,2,9,30,6,1
1688388767816881,0,-2,-3,-3,2,-11,-2,-1
1688388767816881,-2,0,0,0,1,2,-3,-2
1688388767817879,0,3,2,1,9,-8,0,1
1688388767817879,-1,-2,-5,-5,-7,4,-3,-1
1688388767820878,-2,-2,-2,1,0,-2,0,0
1688388767820878,3,2,0,1,-8,4,2,0
1688388767827875,0,0,-2,-2,2,15,0,-1
1688388767827875,-2,-2,-1,1,12,-6,-2,-2
1688388767836984,2,2,1,1,-7,4,-1,1
1688388767836984,1,0,3,0,-8,0,3,0
1688388767851939,-3,-4,-3,1,12,10,2,-1
1688388767851939,0,0,-2,-4,-10,-23,-6,-2
1688388767858925,1,1,1,1,-3,5,-1,-1
1688388767858925,-2,-2,-1,-1,12,5,-2,0
1688388767866965,0,-1,-1,-2,3,5,1,-1
1688388767866965,-1,-2,-1,-1,-3,-11,-2,-1
1688388767882041,-1,1,3,0,0,7,0,-2
1688388767882041,0,0,-4,-5,-19,-7,-1,0
1688388767888298,-1,0,1,2,25,-3,-1,-2
1688388767888298,1,0,2,0,-9,8,0,0
1688388767943174,0,0,-1,1,-8,10,4,3
1688388767943174,1,1,0,-1,10,-8,-1,1
1688388767943174,-1,-2,-4,-5,-13,12,2,0
1688388767943174,-2,-2,1,0,2,-27,-4,1
1688388767944188,0,0,3,1,-4,2,-1,-1
1688388767944188,-3,-2,-5,-5,-12,-11,-4,-3
1688388767945190,1,0,0,1,-10,-5,0,-2
1688388767945190,0,-3,-6,-2,12,4,0,1
1688388767949185,1,-1,-1,-1,4,-12,1,0
1688388767949185,-1,-4,-2,-3,-7,7,1,0
1688388767955182,-2,0,1,-1,2,-16,-2,-2
1688388767955182,-2,-2,0,1,-3,-2,-3,-3
1688388767963701,-3,0,-1,-2,-1,-1,-1,-3
1688388767963701,2,-1,0,1,4,17,2,2
1688388767978679,-1,1,1,-3,-11,-40,-4,-1
1688388767978679,-2,-4,-4,-2,9,13,1,-2
1688388767985081,-2,1,5,-2,-10,-11,-3,0
1688388767985081,2,0,2,3,7,1,2,0
1688388767993049,-1,0,-2,-2,-18,22,-2,1
1688388767993049,0,0,1,5,26,-5,-2,0
1688388768008042,-1,1,-3,-3,-6,-12,-4,-3
1688388768008042,0,2,2,2,-15,1,2,-1
1688388768015081,-2,-3,-1,1,6,-12,-2,0
1688388768015081,-1,1,-2,-5,-26,-3,-1,-1
1688388768030071,1,-2,-4,-4,16,13,0,1
1688388768030071,-1,2,8,11,-9,-24,-5,-3
1688388768038724,1,3,3,2,25,17,0,2
1688388768038724,-3,0,1,-1,-15,-3,0,-1
1688388768045093,-3,-4,-1,0,-4,-19,-5,-3
1688388768045093,0,-3,-4,-5,2,-13,-2,1
1688388768052999,0,-4,0,1,0,-3,0,-2
1688388768052999,0,3,-1,-4,-11,-4,-2,0
1688388768068021,-1,-4,-13,-28,1,21,-2,-1
1688388768068021,-1,1,-8,17,15,6,-1,-2
1688388768075022,1,5,31,26,22,1,0,-3
1688388768075022,1,-5,-6,-5,-16,-6,-1,-1
1688388768083750,2,2,7,7,-5,-2,2,0
1688388768083750,-2,-2,-9,-21,-7,21,0,0
1688388768098155,0,-4,-11,-12,13,8,-1,1
1688388768098155,0,-2,-3,8,-7,13,3,0
1688388768105002,-3,-7,-16,-13,-6,-18,-1,1
1688388768105002,-2,1,11,-3,9,-1,-2,-1
1688388768113085,1,8,17,10,-10,6,1,1
1688388768113085,1,1,-4,-29,16,4,-1,1
1688388768128064,0,-2,-8,16,-5,-1,-1,0
1688388768128064,1,-2,0,18,1,-19,-5,-2
1688388768134967,-2,-6,-16,-12,-18,6,0,-1
1688388768134967,-6,-17,-25,-11,-12,15,-3,-4
1688388768143701,0,2,-32,-60,25,13,-1,-2
1688388768143701,7,19,73,60,2,9,3,4
1688388768158087,-2,-2,-1,-11,0,-15,-1,-2
1688388768158087,0,-3,-6,-49,-7,16,0,-1
1688388768165245,-2,-9,-32,36,4,-17,-3,-2
1688388768165245,-3,-7,-3,-19,3,12,-1,-2
1688388768172251,-4,-7,-31,-1,-3,14,-2,-1
1688388768172251,5,23,86,53,19,7,4,3
1688388768188113,-1,-2,6,-22,-13,6,3,1
1688388768188113,-4,-9,-25,-13,-2,2,-2,-3
1688388768195118,-3,-9,-58,-46,-3,4,-4,-2
1688388768195118,13,20,61,-3,-2,-21,-2,4
1688388768204160,6,30,107,112,12,3,-2,1
1688388768204160,-22,-24,-22,0,-11,5,2,-6
1688388768218024,14,15,15,26,15,-2,-2,6
1688388768218024,-7,-9,-52,-15,-9,-15,-4,-1
1688388768226332,13,7,28,9,1,4,-1,-1
1688388768226332,0,0,-5,8,5,-2,1,0
1688388768232327,-8,-5,-6,-7,-3,27,-4,-1
1688388768232327,-1,-10,-26,-19,-8,-7,4,-4
1688388768247276,-6,-12,-3,19,1,-2,6,3
1688388768247276,-4,-5,-34,-36,-2,-17,-4,-3
1688388768255119,0,0,6,-12,-1,-15,-3,-2
1688388768255119,0,0,2,20,3,-9,-6,-1
1688388768264286,-8,-10,-32,-31,-8,-4,-2,-5
1688388768264286,-1,-3,-4,-14,-6,-9,-1,-1
1688388768278049,7,5,23,21,4,-5,3,2
1688388768278049,-1,2,-4,8,13,0,-1,1
1688388768286231,-6,-7,-11,-12,-10,8,2,-4
1688388768286231,0,-1,-8,-8,1,0,0,3
1688388768292998,-1,-1,15,6,3,-5,1,1
1688388768292998,-15,-15,-23,9,2,11,1,-5
1688388768307591,11,13,6,-5,4,-2,1,-2
1688388768307591,10,0,2,-5,3,-5,0,3
1688388768315585,1,-2,-4,0,-6,-6,-4,2
1688388768315585,-8,-3,1,9,1,14,0,-1
1688388768324270,-18,-5,-5,-18,0,-8,-3,-2
1688388768324270,-8,2,1,3,-3,5,-2,-9
1688388768337999,-11,-3,-2,1,-4,0,-2,-5
1688388768337999,12,2,-8,-1,-3,8,5,0
1688388768346428,-8,-5,-2,-2,-2,6,-7,0
1688388768346428,4,7,1,0,-6,-6,2,-2
1688388768353024,42,-3,-4,6,1,13,4,5
1688388768353024,-54,-10,-6,-18,1,-18,-8,-16
1688388768368023,8,-7,-8,-3,-7,0,-4,5
1688388768368023,6,6,8,-12,9,-8,-5,5
1688388768374762,-7,1,4,4,-2,-7,-3,-5
1688388768374762,15,0,-1,13,0,14,7,-1
1688388768383701,11,6,-2,-2,1,10,-1,25
1688388768383701,-29,-11,-5,-2,-5,-9,-3,-5
1688388768398020,-11,-5,-1,13,4,17,11,-7
1688388768398020,18,7,8,-1,2,-8,-10,9
1688388768407086,-5,4,3,-4,8,11,4,-7
1688388768407086,15,0,-2,-6,-11,-1,5,7
1688388768413024,-8,4,2,-5,2,-2,-5,-1
1688388768413024,-10,-2,-6,14,3,-4,5,-6
1688388768428024,19,1,4,-7,-2,14,-8,-1
1688388768428024,1,-3,-2,1,8,-1,0,1
1688388768435618,-12,-6,1,1,3,-8,4,4
1688388768435618,12,14,6,5,-2,1,0,-39
1688388768443682,-6,-6,-3,-5,16,4,9,46
1688388768443682,5,-2,-4,6,5,53,-4,4
1688388768457741,1,-2,-3,-6,-18,-47,-1,12
1688388768457741,-2,-7,-8,-8,0,11,-8,-7
1688388768466792,4,8,15,6,4,4,3,-38
1688388768466792,-3,-4,-4,-1,-4,5,-5,-52
1688388768481106,8,-2,-3,-5,5,43,25,30
1688388768481106,7,20,18,11,3,-21,0,18
1688388768488107,-2,-16,-7,7,2,5,-21,-18
1688388768488107,-13,-4,-10,-17,-19,-19,-7,41
1688388768495119,12,2,-5,-9,-1,-7,-23,-72
1688388768495119,6,-4,-8,2,-5,-15,12,45
1688388768504550,-32,4,-3,-4,-7,-24,-8,-57
1688388768504550,117,-5,13,0,7,18,27,114
1688388768518024,-91,0,-4,3,12,26,-29,-104
1688388768518024,28,6,5,7,14,-35,42,31
1688388768527124,8,-3,0,21,6,0,6,29
1688388768527124,-3,4,-3,-14,-4,9,7,33
1688388768541046,14,1,17,11,-14,2,4,-65
1688388768541046,30,-17,-12,1,1,3,24,66
1688388768548043,-20,6,6,13,13,52,28,-73
1688388768548043,4,6,3,-3,-12,-29,-26,-27
1688388768555078,-24,-12,-6,-10,-6,-38,10,-1
1688388768555078,-24,-17,-19,-3,-5,21,-65,-9
