timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1688396585.971039,-1,-1,-5,-8,-3,1,-1,-1
1688396585.9740388,0,2,9,1,-3,-5,-2,1
1688396585.9760356,-1,-2,-10,-9,0,1,2,0
1688396585.9770367,-2,1,2,1,2,3,0,-1
1688396585.9780357,-2,-1,14,13,3,-3,-1,2
1688396585.9800346,0,0,6,-3,2,1,1,1
1688396585.9810343,1,-1,3,2,-1,3,0,-2
1688396585.982031,-2,-6,-27,-31,-6,-7,-4,-4
1688396585.9850328,2,7,25,20,2,-10,1,1
1688396585.98603,-2,-5,-10,-1,-2,4,-2,-5
1688396585.9910262,1,7,12,3,1,-3,-1,1
1688396585.9920266,2,2,10,1,1,7,-1,1
1688396585.999022,-1,-8,-39,-23,7,1,1,2
1688396586.0010214,-3,-2,-17,-18,-44,-6,-1,-3
1688396586.0200126,0,1,3,-2,18,-4,-1,1
1688396586.0479958,4,7,34,35,-1,1,4,4
1688396586.051998,3,2,1,-4,3,10,-1,0
1688396586.0589943,-2,-5,0,8,23,6,1,-2
1688396586.0629904,-2,-5,-24,-12,-18,-6,-1,-2
1688396586.063986,-2,-1,-10,-21,13,5,0,0
1688396586.0659854,-1,-4,-11,-2,-11,-6,-1,-2
1688396586.067988,3,6,14,-5,9,-1,-1,0
1688396586.069983,-2,0,8,14,-2,9,8,0
1688396586.073985,0,-4,-4,-8,-5,-16,-15,0
1688396586.090971,-2,-2,-14,9,2,-5,8,-2
1688396586.0929692,3,3,6,6,4,1,3,2
1688396586.0939682,2,4,24,8,5,6,2,0
1688396586.0949674,-1,-2,3,5,-3,-6,-1,-1
1688396586.0969658,0,-1,-1,2,1,-1,-3,2
1688396586.0979662,-3,-4,-18,-7,-3,1,-1,-2
1688396586.0989642,-2,-5,-5,-16,0,3,0,-1
1688396586.1029654,-2,-7,-26,-7,-2,-2,-4,-1
1688396586.1069655,1,3,21,-16,-5,0,-1,-3
1688396586.1099617,2,4,6,24,3,1,3,0
1688396586.1119587,2,0,11,24,3,-5,-3,0
1688396586.1129582,-2,-7,-37,-70,-5,1,-1,-2
1688396586.1189554,-1,-1,3,43,-5,-2,-5,-1
1688396586.1199532,1,5,39,25,4,0,-2,-1
1688396586.1319466,-1,-6,-15,-13,-6,-4,1,-3
1688396586.133946,-2,-2,8,-12,-2,2,-2,-4
1688396586.1409423,-3,-11,-46,-33,-6,-1,0,-1
1688396586.141942,-5,-7,-57,-39,-3,-3,-1,-1
1688396586.146937,7,19,66,45,11,3,4,4
1688396586.1479373,-3,-9,-33,-39,-12,-3,-2,-2
1688396586.1629298,7,22,111,97,20,4,1,3
1688396586.1679292,-4,-9,-19,-29,-7,-1,-2,-1
1688396586.1709263,-2,-8,-37,-7,-3,0,3,-1
1688396586.1759214,-2,0,8,-7,-1,-3,-10,-2
1688396586.2139003,-3,-6,-18,-26,-3,0,5,-1
1688396586.215899,5,14,43,34,14,-2,-4,2
1688396586.2218957,-7,-5,-10,-6,-9,-17,-4,-4
1688396586.224894,1,0,10,20,2,9,-1,1
1688396586.2318902,-2,-4,-23,-19,-3,1,1,0
1688396586.2368937,1,-2,1,-4,-3,2,1,-1
1688396586.240885,-1,-5,-20,-19,-5,-1,-2,0
1688396586.2418842,1,4,17,31,6,4,4,-1
1688396586.2438848,-4,-4,-13,-19,-3,-17,-9,1
1688396586.2458823,2,-1,1,-3,-2,2,-1,-6
1688396586.2468827,-13,-2,-2,-5,2,1,0,-3
1688396586.2478812,-3,10,15,24,9,1,1,8
1688396586.2488809,17,-5,-4,-10,-6,4,-7,2
1688396586.2518783,-7,-6,-1,-6,-5,-12,11,5
1688396586.255877,2,-5,-13,-6,-4,-2,-4,-11
1688396586.256877,-14,0,6,10,2,-13,-2,-12
1688396586.260874,1,2,-6,-10,1,-3,-13,-4
1688396586.2628713,4,-7,-6,-1,-7,4,14,17
1688396586.2678726,8,6,5,5,0,4,-4,-2
1688396586.2708738,-4,-2,-1,0,3,-1,1,4
1688396586.2818599,-14,-4,-6,-8,-2,4,-5,-12
1688396586.2858596,1,-1,-6,-2,-2,1,0,-14
1688396586.289856,-2,-18,-6,-3,-4,0,4,20
1688396586.2918546,7,17,8,9,-1,4,1,-11
1688396586.2988508,-6,-10,-15,-6,-12,-9,-8,1
1688396586.3008504,-2,9,13,1,8,8,-9,-10
1688396586.3128426,3,0,-4,-6,1,-14,-5,-8
1688396586.3138425,-2,2,-3,5,-6,-8,-7,18
1688396586.3218377,-8,1,2,0,1,6,2,18
1688396586.3228369,-13,-7,-6,-5,-6,-6,0,-8
1688396586.326834,14,11,-2,0,-3,1,-5,9
1688396586.328835,8,-2,3,5,4,0,2,-11
