,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
4,1693677649651909600,1.017535686,-0.852335811,10.27112484,-0.062218986,-0.001732006,-0.008793262,-24,49,88,9,-5
0,1693677649661899600,1.018732786,-0.848744512,10.26154804,-0.062352221,-0.001865237,-0.009059724,-28,43,85,13,-11
1,1693677649662899600,1.019929886,-0.851138711,10.26035118,-0.062218986,-0.001998469,-0.009059724,-31,39,79,11,-12
2,1693677649663899600,1.017535686,-0.85473001,10.25915432,-0.062352221,-0.001998469,-0.009059724,-24,46,85,7,-8
3,1693677649664899600,1.018732786,-0.85592711,10.26035118,-0.062352221,-0.001998469,-0.009192956,-20,39,85,4,-9
4,1693677649665899600,1.021126986,-0.85473001,10.25915432,-0.062352221,-0.001865237,-0.009059724,-23,43,88,13,-8
0,1693677649677890500,1.035492182,-0.85353291,10.27112484,-0.062085759,-0.001998469,-0.008660031,-29,43,88,9,-5
1,1693677649678890500,1.035492182,-0.85473001,10.26992798,-0.062085759,-0.002264931,-0.008660031,-19,44,88,8,-9
2,1693677649679890500,1.035492182,-0.852335811,10.26992798,-0.062085759,-0.0021317,-0.008526799,-22,43,87,7,-8
3,1693677649680890500,1.031900883,-0.849941611,10.26992798,-0.062085759,-0.0021317,-0.008526799,-23,44,88,10,-8
4,1693677649681890500,1.029506683,-0.849941611,10.26513958,-0.062218986,-0.001998469,-0.008660031,-18,48,93,2,-11
0,1693677649693881100,1.025915384,-0.843956113,10.26274586,-0.062485453,-0.001598775,-0.008793262,-23,41,88,6,-8
1,1693677649694881100,1.024718285,-0.842759013,10.26633644,-0.062485453,-0.001598775,-0.008793262,-27,43,81,12,-8
2,1693677649695881100,1.024718285,-0.841561913,10.27232265,-0.062352221,-0.001732006,-0.008660031,-26,45,80,11,-7
3,1693677649696881100,1.022324085,-0.842759013,10.27711105,-0.062485453,-0.001865237,-0.008660031,-24,41,83,7,-9
4,1693677649697881100,1.021126986,-0.842759013,10.26992798,-0.062352221,-0.001732006,-0.008660031,-24,38,88,6,-9
0,1693677649708873500,1.028309584,-0.852335811,10.26513958,-0.062751912,-0.001732006,-0.008660031,-21,39,87,12,-12
