timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
1689140534521509700,2.0,18.0,-94.0,-22.0,-12.0,-11.0,-23.0,-13.0,,,,,,,,,,,,
1689140534528505800,-16.0,-54.0,-6.0,-16.0,-5.0,-5.0,-9.0,-33.0,,,,,,,,,,,,
1689140534530504000,3.0,-2.0,-9.0,-3.0,-3.0,1.0,22.0,49.0,,,,,,,,,,,,
1689140534543497000,-6.0,-31.0,-12.0,2.0,2.0,0.0,-13.0,-26.0,,,,,,,,,,,,
1689140534545497600,-36.0,6.0,-1.0,9.0,3.0,4.0,8.0,6.0,,,,,,,,,,,,
1689140534552493900,-9.0,32.0,2.0,1.0,1.0,-1.0,-2.0,-2.0,,,,,,,,,,,,
1689140534553491200,34.0,-30.0,-50.0,-10.0,-3.0,-3.0,-7.0,-4.0,,,,,,,,,,,,
1689140534560632000,-43.0,-11.0,7.0,-2.0,-7.0,-4.0,11.0,-23.0,,,,,,,,,,,,
1689140534562630500,25.0,-11.0,18.0,4.0,7.0,3.0,4.0,-79.0,,,,,,,,,,,,
1689140534572626100,-8.0,7.0,-35.0,-7.0,-1.0,-2.0,5.0,64.0,,,,,,,,,,,,
1689140534574623500,2.0,-44.0,31.0,6.0,-2.0,-3.0,-2.0,-29.0,,,,,,,,,,,,
1689140534579620800,-2.0,8.0,23.0,-6.0,-5.0,-1.0,-8.0,44.0,,,,,,,,,,,,
1689140534581621000,4.0,-18.0,43.0,16.0,4.0,-2.0,-9.0,-10.0,,,,,,,,,,,,
1689140534588615600,-27.0,42.0,-24.0,-2.0,0.0,-1.0,16.0,42.0,,,,,,,,,,,,
1689140534590615900,1.0,81.0,-6.0,5.0,8.0,7.0,0.0,43.0,,,,,,,,,,,,
1689140534602607700,55.0,24.0,3.0,6.0,0.0,0.0,1.0,-88.0,,,,,,,,,,,,
1689140534603609200,-25.0,-27.0,-24.0,-14.0,-7.0,-5.0,2.0,26.0,,,,,,,,,,,,
1689140534611602600,21.0,-9.0,-4.0,5.0,-1.0,-2.0,-11.0,23.0,,,,,,,,,,,,
1689140534613602000,1.0,38.0,-17.0,-7.0,2.0,0.0,-5.0,-60.0,,,,,,,,,,,,
1689140534617599700,-36.0,-88.0,-21.0,0.0,-3.0,-1.0,7.0,72.0,,,,,,,,,,,,
1689140534619598700,-34.0,43.0,21.0,6.0,0.0,1.0,-1.0,-62.0,,,,,,,,,,,,
1689140534659577200,30.0,-38.0,-24.0,-2.0,-3.0,-7.0,-25.0,-81.0,,,,,,,,,,,,
1689140534661576500,-2.0,-21.0,-30.0,-1.0,0.0,-1.0,-3.0,-13.0,,,,,,,,,,,,
1689140534663574900,3.0,-7.0,-22.0,-8.0,-1.0,-2.0,-5.0,1.0,,,,,,,,,,,,
1689140534666571900,-27.0,7.0,40.0,12.0,-3.0,1.0,1.0,14.0,,,,,,,,,,,,
1689140534668571400,-13.0,-16.0,-13.0,-27.0,-5.0,0.0,-3.0,-82.0,,,,,,,,,,,,
1689140534670569800,-30.0,-21.0,-3.0,-4.0,-1.0,-2.0,-4.0,-36.0,,,,,,,,,,,,
1689140534672568500,3.0,-16.0,2.0,3.0,-3.0,-4.0,-25.0,-84.0,,,,,,,,,,,,
1689140534675566100,1.0,18.0,-33.0,-14.0,3.0,1.0,6.0,78.0,,,,,,,,,,,,
1689140534709547400,1.0,88.0,12.0,25.0,3.0,2.0,5.0,-21.0,,,,,,,,,,,,
1689140534711546300,19.0,20.0,-18.0,-22.0,-7.0,-6.0,-3.0,-4.0,,,,,,,,,,,,
1689140534712546000,-15.0,-12.0,27.0,-10.0,-2.0,-2.0,7.0,26.0,,,,,,,,,,,,
1689140534714545500,-8.0,12.0,-20.0,9.0,0.0,-4.0,-5.0,-22.0,,,,,,,,,,,,
1689140534716543600,36.0,19.0,10.0,1.0,5.0,4.0,0.0,75.0,,,,,,,,,,,,
1689140534718542600,-2.0,-20.0,-16.0,6.0,1.0,-4.0,0.0,-3.0,,,,,,,,,,,,
1689140534720540500,12.0,-43.0,7.0,3.0,2.0,3.0,8.0,25.0,,,,,,,,,,,,
1689140534722539400,70.0,9.0,-5.0,1.0,5.0,0.0,7.0,123.0,,,,,,,,,,,,
1689140534725537500,10.0,-20.0,22.0,0.0,-1.0,-3.0,-6.0,-22.0,,,,,,,,,,,,
1689140534726537000,-8.0,31.0,8.0,-2.0,-4.0,-2.0,-3.0,38.0,,,,,,,,,,,,
1689140534747524800,-6.0,-61.0,-1.0,13.0,4.0,-4.0,0.0,-50.0,,,,,,,,,,,,
1689140534749524500,8.0,-9.0,15.0,-13.0,0.0,4.0,-2.0,-13.0,,,,,,,,,,,,
1689140534751524200,12.0,-30.0,-25.0,0.0,-2.0,-1.0,-16.0,-63.0,,,,,,,,,,,,
1689140534753522100,-17.0,-17.0,-17.0,18.0,2.0,1.0,1.0,35.0,,,,,,,,,,,,
1689140534755520800,32.0,9.0,22.0,-20.0,-4.0,-1.0,-7.0,-2.0,,,,,,,,,,,,
1689140534757519500,-54.0,35.0,-14.0,9.0,-3.0,-13.0,-4.0,-51.0,,,,,,,,,,,,
1689140534765515000,-16.0,12.0,10.0,-16.0,-3.0,-2.0,0.0,0.0,,,,,,,,,,,,
1689140534784503900,43.0,-21.0,19.0,13.0,2.0,-4.0,-13.0,-53.0,,,,,,,,,,,,
1689140534786504600,7.0,49.0,9.0,15.0,11.0,15.0,3.0,95.0,,,,,,,,,,,,
1689140534787501600,7.0,-74.0,-9.0,-4.0,-6.0,-8.0,-30.0,5.0,,,,,,,,,,,,
1689140534789500200,20.0,4.0,-10.0,-1.0,0.0,1.0,3.0,12.0,,,,,,,,,,,,
1689140534791500000,-2.0,-52.0,2.0,5.0,-2.0,-2.0,-6.0,37.0,,,,,,,,,,,,
1689140534793500600,-21.0,14.0,1.0,-17.0,-11.0,-15.0,11.0,125.0,,,,,,,,,,,,
1689140534794500400,25.0,30.0,-2.0,-8.0,4.0,11.0,9.0,-42.0,,,,,,,,,,,,
1689140534797497100,5.0,-57.0,-1.0,15.0,-3.0,-13.0,-11.0,54.0,,,,,,,,,,,,
1689140534799494600,-26.0,-27.0,-56.0,-22.0,-9.0,8.0,-7.0,-10.0,,,,,,,,,,,,
1689140534801493900,-26.0,2.0,15.0,-7.0,2.0,-1.0,-2.0,-4.0,,,,,,,,,,,,
1689140534803494100,-30.0,-39.0,-79.0,-9.0,-3.0,6.0,13.0,20.0,,,,,,,,,,,,
1689140534829486600,9.0,29.0,12.0,18.0,0.0,-17.0,-3.0,102.0,,,,,,,,,,,,
1689140534831484100,-5.0,6.0,44.0,-8.0,2.0,27.0,28.0,17.0,,,,,,,,,,,,
1689140534833482300,-26.0,34.0,-24.0,2.0,0.0,-1.0,-16.0,-51.0,,,,,,,,,,,,
1689140534835482000,54.0,1.0,25.0,6.0,3.0,3.0,-1.0,-38.0,,,,,,,,,,,,
1689140534843477700,-71.0,-84.0,-2.0,2.0,4.0,6.0,10.0,-8.0,,,,,,,,,,,,
1689140534845475700,16.0,11.0,9.0,8.0,0.0,-8.0,5.0,12.0,,,,,,,,,,,,
1689140534846474400,-9.0,-3.0,-20.0,-14.0,-1.0,1.0,0.0,5.0,,,,,,,,,,,,
1689140534847475200,-1.0,-35.0,46.0,14.0,0.0,-1.0,1.0,-8.0,,,,,,,,,,,,
1689140534851471600,-30.0,-24.0,-25.0,-40.0,-9.0,-5.0,-7.0,-85.0,,,,,,,,,,,,
1689140534853474300,18.0,38.0,15.0,14.0,0.0,-11.0,-15.0,74.0,,,,,,,,,,,,
1689140534857468500,-8.0,-91.0,-37.0,-10.0,-10.0,-4.0,6.0,-29.0,,,,,,,,,,,,
1689140534859467300,-27.0,4.0,17.0,-7.0,-2.0,-5.0,0.0,19.0,,,,,,,,,,,,
1689140534872460000,32.0,39.0,16.0,12.0,-2.0,3.0,11.0,32.0,,,,,,,,,,,,
1689140534873461400,13.0,-5.0,10.0,-8.0,-3.0,-1.0,14.0,60.0,,,,,,,,,,,,
1689140534879455800,27.0,26.0,-37.0,-7.0,1.0,-1.0,-8.0,28.0,,,,,,,,,,,,
1689140534881455700,-5.0,3.0,50.0,8.0,-2.0,-2.0,-3.0,-55.0,,,,,,,,,,,,
1689140534888450600,-10.0,-4.0,-8.0,1.0,2.0,5.0,2.0,-14.0,,,,,,,,,,,,
1689140534890449700,-3.0,1.0,-17.0,-11.0,-3.0,-5.0,-13.0,-36.0,,,,,,,,,,,,
1689140534902442300,-19.0,-11.0,-6.0,2.0,-3.0,-8.0,3.0,-29.0,,,,,,,,,,,,
1689140534903442300,-19.0,8.0,-19.0,-6.0,-3.0,1.0,1.0,-21.0,,,,,,,,,,,,
1689140534911442800,-2.0,34.0,36.0,5.0,7.0,0.0,4.0,28.0,,,,,,,,,,,,
1689140534912443800,-16.0,-23.0,35.0,10.0,4.0,21.0,1.0,-33.0,,,,,,,,,,,,
1689140534917438300,11.0,34.0,1.0,4.0,0.0,-3.0,-6.0,-36.0,,,,,,,,,,,,
1689140534918438000,27.0,1.0,9.0,17.0,3.0,5.0,-3.0,-74.0,,,,,,,,,,,,
1689140534932429700,18.0,13.0,-17.0,-34.0,-4.0,5.0,4.0,14.0,,,,,,,,,,,,
1689140534933429500,10.0,3.0,14.0,6.0,-1.0,-11.0,-17.0,-64.0,,,,,,,,,,,,
1689140534939425200,-9.0,9.0,3.0,-9.0,-3.0,0.0,-1.0,-34.0,,,,,,,,,,,,
1689140534940425900,-8.0,11.0,-21.0,-4.0,-2.0,0.0,5.0,53.0,,,,,,,,,,,,
1689140534948422200,18.0,-3.0,6.0,13.0,2.0,2.0,7.0,2.0,,,,,,,,,,,,
1689140534950419400,14.0,30.0,-16.0,-1.0,0.0,-4.0,3.0,-100.0,,,,,,,,,,,,
1689140534962412300,-9.0,23.0,18.0,14.0,1.0,3.0,6.0,12.0,,,,,,,,,,,,
1689140534963413700,-19.0,27.0,-12.0,-12.0,-3.0,-6.0,-6.0,-7.0,,,,,,,,,,,,
1689140534971407300,-3.0,-8.0,-14.0,-1.0,-4.0,-3.0,1.0,22.0,,,,,,,,,,,,
1689140534972406900,-10.0,6.0,13.0,4.0,3.0,-1.0,-5.0,-67.0,,,,,,,,,,,,
1689140534981402500,-49.0,8.0,-5.0,6.0,2.0,2.0,9.0,-72.0,,,,,,,,,,,,
1689140534982403100,13.0,-26.0,-10.0,-8.0,-2.0,0.0,5.0,76.0,,,,,,,,,,,,
1689140534992395500,42.0,-15.0,-12.0,13.0,2.0,-1.0,1.0,-1.0,,,,,,,,,,,,
1689140534994394300,-1.0,8.0,-25.0,-60.0,-11.0,-3.0,6.0,49.0,,,,,,,,,,,,
1689140535000394100,-1.0,-44.0,17.0,8.0,-5.0,-3.0,-6.0,28.0,,,,,,,,,,,,
