timestamp_leitura,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
1688396585.7911654,0.363918662,-0.086191259,10.64940929,0.105785601,0.010924961,-0.016520673,,,,,,
1688396585.7911654,0.363918662,-0.08379706,10.64940929,0.106052071,0.011191424,-0.016254211,,,,,,
1688396585.7911654,0.361524463,-0.08379706,10.65659142,0.105785601,0.011191424,-0.016520673,,,,,,
1688396585.7911654,0.359130263,-0.08379706,10.65659142,0.105785601,0.011191424,-0.016520673,,,,,,
1688396585.7911654,0.356736064,-0.086191259,10.65898609,0.105519146,0.011457887,-0.016520673,,,,,,
1688396585.7911654,0.356736064,-0.086191259,10.66377449,0.105785601,0.011457887,-0.016520673,,,,,,
1688396585.7911654,0.356736064,-0.088585466,10.66377449,0.105785601,0.011724349,-0.016254211,,,,,,
1688396585.7911654,0.356736064,-0.093373865,10.66377449,0.105519146,0.011724349,-0.016254211,,,,,,
1688396585.7911654,0.356736064,-0.093373865,10.66616821,0.105785601,0.011724349,-0.016254211,,,,,,
1688396585.7911654,0.359130263,-0.093373865,10.66856289,0.105785601,0.011724349,-0.016254211,,,,,,
1688396585.7911654,0.361524463,-0.093373865,10.66616821,0.105785601,0.011457887,-0.016520673,,,,,,
1688396585.7911654,0.361524463,-0.093373865,10.66137981,0.106052071,0.011724349,-0.016520673,,,,,,
1688396585.7911654,0.359130263,-0.090979666,10.65659142,0.106052071,0.011724349,-0.016520673,,,,,,
1688396585.7911654,0.359130263,-0.093373865,10.65898609,0.106052071,0.011457887,-0.016520673,,,,,,
1688396585.7911654,0.356736064,-0.090979666,10.65898609,0.105785601,0.011191424,-0.016520673,,,,,,
1688396585.7911654,,,,,,,0.991199493,0.150834709,9.26556015,-0.104986221,0.022649311,-0.013056661
1688396585.7911654,,,,,,,0.988805294,0.150834709,9.267954826,-0.104986221,0.022915773,-0.013056661
1688396585.7911654,,,,,,,0.988805294,0.14844051,9.26556015,-0.104986221,0.022915773,-0.013056661
1688396585.7911654,,,,,,,0.991199493,0.146046311,9.26556015,-0.104719758,0.023182238,-0.013323124
1688396585.7911654,,,,,,,0.991199493,0.146046311,9.26556015,-0.104986221,0.023182238,-0.013323124
1688396585.7911654,,,,,,,0.988805294,0.146046311,9.26556015,-0.104986221,0.023182238,-0.013323124
1688396585.7911654,,,,,,,0.988805294,0.146046311,9.260771751,-0.104986221,0.022915773,-0.013323124
1688396585.7911654,,,,,,,0.986411095,0.14844051,9.272743225,-0.104986221,0.022915773,-0.013323124
1688396585.7911654,,,,,,,0.984016895,0.146046311,9.272743225,-0.104986221,0.022915773,-0.013056661
