,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
0,1693677620222514500,1.025915384,-0.851138711,10.26992798,-0.063018374,-0.0021317,-0.008526799,-18,59,93,14,-1
1,1693677620223514500,1.024718285,-0.852335811,10.27471638,-0.063151613,-0.002264931,-0.008393568,-15,53,91,11,-2
2,1693677620224514500,1.023521185,-0.849941611,10.27830791,-0.063151613,-0.002398162,-0.008393568,-16,45,90,12,-3
3,1693677620225514500,1.022324085,-0.85353291,10.27950478,-0.063018374,-0.002398162,-0.008393568,-17,49,90,12,-3
4,1693677620226514500,1.022324085,-0.852335811,10.27950478,-0.063018374,-0.002398162,-0.008260337,-14,44,88,14,-2
0,1693677620261491800,1.027112484,-0.852335811,10.27830791,-0.06261868,-0.001865237,-0.008793262,-21,39,90,8,-5
1,1693677620262491800,1.028309584,-0.849941611,10.28070164,-0.06261868,-0.001865237,-0.008926493,-26,45,92,11,-3
2,1693677620263491800,1.025915384,-0.848744512,10.27950478,-0.062751912,-0.001865237,-0.008926493,-22,47,90,8,-7
3,1693677620264491800,1.029506683,-0.846350312,10.27711105,-0.062751912,-0.001732006,-0.008926493,-21,45,91,12,-4
4,1693677620265491800,1.025915384,-0.849941611,10.26992798,-0.062751912,-0.001732006,-0.008660031,-23,43,89,8,-3
0,1693677620295472300,1.029506683,-0.839167714,10.27711105,-0.062751912,-0.001865237,-0.008793262,-15,47,91,13,-4
1,1693677620296472300,1.029506683,-0.841561913,10.26992798,-0.062751912,-0.001865237,-0.008926493,-19,50,90,11,-5
2,1693677620297472300,1.028309584,-0.841561913,10.26513958,-0.062751912,-0.001998469,-0.008660031,-16,46,90,13,-2
3,1693677620298472300,1.024718285,-0.842759013,10.26873112,-0.062751912,-0.0021317,-0.008660031,-19,48,90,12,0
4,1693677620299472300,1.019929886,-0.842759013,10.26992798,-0.062885143,-0.001998469,-0.008660031,-22,45,92,13,-3
0,1693677620322457900,1.010353088,-0.851138711,10.26992798,-0.062751912,-0.001998469,-0.008793262,-19,55,90,12,-4
1,1693677620323457900,1.009155989,-0.849941611,10.26873112,-0.062751912,-0.0021317,-0.008793262,-21,48,91,13,-2
2,1693677620324457900,1.012747288,-0.852335811,10.26753426,-0.062885143,-0.002264931,-0.008793262,-27,46,90,-1,-5
3,1693677620325457900,1.013944387,-0.851138711,10.27112484,-0.062885143,-0.002264931,-0.008793262,-14,47,90,6,-3
4,1693677620326457900,1.012747288,-0.849941611,10.27471638,-0.063018374,-0.002264931,-0.008793262,-18,51,91,13,-6
0,1693677620351439600,1.022324085,-0.847547412,10.26753426,-0.06261868,-0.001998469,-0.009059724,-18,46,90,12,-2
1,1693677620352439600,1.021126986,-0.847547412,10.26992798,-0.062485453,-0.0021317,-0.008926493,-16,46,84,13,-6
2,1693677620353439600,1.021126986,-0.847547412,10.26753426,-0.062485453,-0.002264931,-0.008926493,-20,44,88,13,-3
3,1693677620354439600,1.023521185,-0.845153213,10.26394272,-0.062352221,-0.0021317,-0.009059724,-24,45,90,11,-3
4,1693677620355439600,1.025915384,-0.847547412,10.26753426,-0.062485453,-0.002264931,-0.009059724,-22,50,92,13,-3
0,1693677620374427600,1.036689281,-0.840364814,10.27830791,-0.062352221,-0.001598775,-0.008526799,-18,39,90,4,-2
1,1693677620375427600,1.035492182,-0.841561913,10.27711105,-0.062352221,-0.001465544,-0.008660031,-18,48,88,14,-7
2,1693677620376427600,1.034295082,-0.842759013,10.27591324,-0.06261868,-0.001465544,-0.008526799,-18,46,90,11,-1
3,1693677620377427600,1.034295082,-0.841561913,10.28189945,-0.062751912,-0.001332312,-0.008526799,-18,47,88,16,-1
