,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
0,1693677253268694400,0.573411286,-0.835576415,10.37407589,-0.064883612,-0.004663093,-0.009992342,-16,50,99,15,14
1,1693677253269694400,0.574608386,-0.839167714,10.37168217,-0.064750381,-0.004529862,-0.010258805,-16,56,97,14,15
2,1693677253270694400,0.573411286,-0.831985116,10.37048435,-0.064750381,-0.004529862,-0.010525269,-17,50,99,15,14
3,1693677253271694400,0.573411286,-0.833182216,10.36569595,-0.064883612,-0.004396631,-0.010525269,-20,49,91,18,14
4,1693677253272694400,0.572214186,-0.833182216,10.36569595,-0.064750381,-0.004396631,-0.010658499,-23,50,95,14,14
0,1693677253313720000,0.561440289,-0.839167714,10.36090755,-0.064750381,-0.004529862,-0.010258805,-18,54,97,13,19
1,1693677253314720000,0.565031588,-0.835576415,10.36090755,-0.064750381,-0.004663093,-0.010125575,-19,38,95,14,14
2,1693677253315720000,0.563834488,-0.836773515,10.35971069,-0.064483918,-0.004663093,-0.010258805,-15,50,96,15,14
3,1693677253316720000,0.563834488,-0.836773515,10.35372543,-0.06461715,-0.004529862,-0.010392036,-24,49,90,13,9
4,1693677253317720000,0.565031588,-0.835576415,10.35492229,-0.064750381,-0.004529862,-0.010525269,-18,53,90,19,16
0,1693677253338722200,0.566228688,-0.827196658,10.36449909,-0.065016843,-0.003996937,-0.010658499,-17,58,92,18,14
1,1693677253339722200,0.562637389,-0.827196658,10.36449909,-0.065016843,-0.003996937,-0.010658499,-16,53,93,13,12
2,1693677253340722200,0.562637389,-0.829590917,10.36330223,-0.065150075,-0.003863706,-0.010658499,-12,50,99,11,14
3,1693677253341722200,0.562637389,-0.833182216,10.36449909,-0.065016843,-0.003863706,-0.010392036,-22,58,97,13,8
4,1693677253342722200,0.563834488,-0.834379315,10.36449909,-0.065016843,-0.003996937,-0.010392036,-19,49,92,13,14
0,1693677253359709100,0.567425787,-0.831985116,10.36449909,-0.064750381,-0.004130168,-0.009992342,-20,57,97,14,15
1,1693677253360709100,0.568622887,-0.833182216,10.36330223,-0.064483918,-0.0042634,-0.009992342,-18,50,95,13,12
2,1693677253361709100,0.567425787,-0.835576415,10.36090755,-0.064483918,-0.004396631,-0.010125575,-16,49,90,13,8
3,1693677253362709100,0.569819987,-0.837970614,10.35971069,-0.064483918,-0.004396631,-0.010258805,-14,51,99,14,14
4,1693677253363709100,0.569819987,-0.837970614,10.36090755,-0.064350687,-0.004396631,-0.010392036,-18,54,91,20,14
0,1693677253375699700,0.572214186,-0.841561913,10.35133076,-0.064483918,-0.004663093,-0.010525269,-20,48,94,18,14
1,1693677253376699700,0.573411286,-0.842759013,10.35492229,-0.064483918,-0.004663093,-0.010658499,-19,48,99,14,14
2,1693677253377699700,0.573411286,-0.839167714,10.35731697,-0.064350687,-0.004529862,-0.01079173,-19,57,92,13,14
3,1693677253378699700,0.569819987,-0.836773515,10.35851383,-0.064483918,-0.004396631,-0.010924961,-18,57,96,16,13
4,1693677253379699700,0.568622887,-0.837970614,10.35971069,-0.064483918,-0.0042634,-0.011058193,-17,50,93,17,16
0,1693677253392692400,0.567425787,-0.839167714,10.37766743,-0.064350687,-0.0042634,-0.010125575,-24,51,90,14,15
1,1693677253393692400,0.567425787,-0.840364814,10.38125896,-0.064350687,-0.0042634,-0.010258805,-19,45,97,13,9
2,1693677253394692400,0.566228688,-0.841561913,10.38125896,-0.064350687,-0.004663093,-0.010392036,-33,44,96,18,3
3,1693677253395692400,0.567425787,-0.842759013,10.38006115,-0.064350687,-0.004663093,-0.010392036,-19,56,91,13,15
4,1693677253396692400,0.565031588,-0.845153213,10.37766743,-0.064350687,-0.004663093,-0.010392036,-17,53,103,18,14
0,1693677253417677300,0.562637389,-0.842759013,10.36689377,-0.065016843,-0.0042634,-0.010125575,-18,51,99,14,14
1,1693677253418677300,0.568622887,-0.840364814,10.37048435,-0.064883612,-0.004396631,-0.010258805,-22,47,103,22,25
2,1693677253419677300,0.571017087,-0.837970614,10.36809063,-0.064883612,-0.004396631,-0.010258805,-12,65,95,16,14
3,1693677253420677300,0.571017087,-0.836773515,10.36569595,-0.064750381,-0.0042634,-0.010525269,-17,52,96,14,14
4,1693677253421677300,0.575805485,-0.839167714,10.36330223,-0.064750381,-0.004529862,-0.010392036,-16,51,99,16,19
0,1693677253436667400,0.569819987,-0.839167714,10.36689377,-0.064350687,-0.003996937,-0.010258805,-20,53,91,17,13
1,1693677253437667400,0.569819987,-0.837970614,10.36689377,-0.064217456,-0.004130168,-0.010125575,-18,50,96,13,11
2,1693677253438667400,0.567425787,-0.836773515,10.36569595,-0.064350687,-0.004130168,-0.010125575,-18,49,96,13,16
3,1693677253439667400,0.569819987,-0.836773515,10.36809063,-0.064350687,-0.0042634,-0.010392036,0,65,105,31,28
4,1693677253440667400,0.568622887,-0.836773515,10.36330223,-0.064217456,-0.003996937,-0.010258805,-17,51,96,14,14
0,1693677253451655800,0.561440289,-0.834379315,10.36090755,-0.064483918,-0.004663093,-0.010392036,-21,49,89,13,13
1,1693677253452655800,0.561440289,-0.833182216,10.36090755,-0.06461715,-0.004796324,-0.010525269,-16,49,91,18,17
2,1693677253453655800,0.562637389,-0.833182216,10.36330223,-0.06461715,-0.004796324,-0.010525269,-19,43,95,14,15
3,1693677253454655800,0.566228688,-0.834379315,10.36210537,-0.06461715,-0.004929556,-0.010525269,-22,61,96,15,12
4,1693677253455655800,0.566228688,-0.830788016,10.36090755,-0.06461715,-0.004796324,-0.010525269,-20,64,93,15,13
0,1693677253468667600,0.573411286,-0.840364814,10.36449909,-0.065150075,-0.004796324,-0.010525269,-18,45,92,13,14
1,1693677253469667600,0.569819987,-0.839167714,10.36449909,-0.064883612,-0.004796324,-0.010525269,-24,51,95,13,14
2,1693677253470667600,0.569819987,-0.837970614,10.36689377,-0.065016843,-0.004929556,-0.010525269,-14,52,96,13,14
3,1693677253471667600,0.568622887,-0.836773515,10.36928749,-0.064883612,-0.004929556,-0.010525269,-16,48,95,12,17
