timestamp,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
1689140534123225500,0.794874966,-0.253785372,10.66137981,0.106052071,0.011990812,-0.016254211,-0.263362199,0.316034615,9.234436035,-0.104453288,0.022116385,-0.012257273
1689140534124225500,0.794874966,-0.248996973,10.65898609,0.106052071,0.011990812,-0.016254211,-0.265756398,0.318428814,9.236829758,-0.104453288,0.022116385,-0.012257273
1689140534125225500,0.794874966,-0.248996973,10.65898609,0.106052071,0.011990812,-0.016254211,-0.268150598,0.318428814,9.239224434,-0.104186833,0.022382848,-0.012257273
1689140534126225500,0.797269166,-0.251391172,10.65898609,0.106052071,0.011990812,-0.016254211,-0.263362199,0.318428814,9.236829758,-0.104186833,0.022382848,-0.012257273
1689140534127225500,0.799663365,-0.251391172,10.65419769,0.106318533,0.011990812,-0.016254211,-0.263362199,0.316034615,9.239224434,-0.103920363,0.022116385,-0.012257273
1689140534128225500,0.802057564,-0.253785372,10.65419769,0.106052071,0.011724349,-0.016254211,-0.265756398,0.316034615,9.241618156,-0.103920363,0.022382848,-0.012257273
1689140534129225500,0.799663365,-0.253785372,10.65659142,0.106052071,0.011724349,-0.016254211,-0.270544797,0.316034615,9.246406555,-0.103920363,0.022382848,-0.012523737
1689140534130225500,0.802057564,-0.253785372,10.65180302,0.106052071,0.011990812,-0.016254211,-0.270544797,0.318428814,9.248801231,-0.103920363,0.022382848,-0.012523737
1689140534131225500,0.802057564,-0.253785372,10.64940929,0.106052071,0.011724349,-0.016520673,-0.270544797,0.318428814,9.248801231,-0.103920363,0.022116385,-0.012523737
1689140534132225500,0.802057564,-0.253785372,10.64940929,0.106052071,0.011990812,-0.016520673,-0.268150598,0.318428814,9.248801231,-0.103920363,0.022382848,-0.012523737
1689140534133225500,0.799663365,-0.253785372,10.65180302,0.106318533,0.011990812,-0.016520673,-0.268150598,0.316034615,9.248801231,-0.103920363,0.022382848,-0.012523737
1689140534134225500,0.799663365,-0.253785372,10.65180302,0.106318533,0.011724349,-0.016520673,-0.268150598,0.313640416,9.241618156,-0.103920363,0.022382848,-0.012257273
1689140534135225500,0.797269166,-0.253785372,10.65419769,0.106052071,0.011990812,-0.016520673,-0.270544797,0.313640416,9.239224434,-0.104186833,0.022116385,-0.012523737
1689140534136225500,0.799663365,-0.253785372,10.65419769,0.106052071,0.011724349,-0.016520673,-0.270544797,0.316034615,9.239224434,-0.104186833,0.022116385,-0.012523737
1689140534137225500,0.802057564,-0.256179571,10.65419769,0.106318533,0.011724349,-0.016254211,-0.272938997,0.318428814,9.236829758,-0.103920363,0.022382848,-0.012523737
1689140534247154100,0.797269166,-0.260968,10.65180302,0.106318533,0.012257273,-0.016520673,-0.268150598,0.311246216,9.239224434,-0.104453288,0.022382848,-0.012257273
1689140534248154100,0.797269166,-0.260968,10.65419769,0.106318533,0.012257273,-0.016520673,-0.268150598,0.311246216,9.232041359,-0.104453288,0.022649311,-0.012257273
1689140534249154100,0.799663365,-0.263362199,10.65419769,0.106318533,0.012257273,-0.016787136,-0.270544797,0.308852017,9.229647636,-0.104453288,0.022649311,-0.012523737
1689140534250154100,0.799663365,-0.263362199,10.65180302,0.106052071,0.011990812,-0.016520673,-0.272938997,0.311246216,9.22725296,-0.104186833,0.022649311,-0.012257273
