,timestamp_leitura,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z
0,1688394070.7791228,0.361524463,-0.090979666,10.65659142,0.106318533,0.011457887,-0.016254211
1,1688394070.7791228,0.366312861,-0.090979666,10.65898609,0.106318533,0.011191424,-0.016520673
2,1688394070.7791228,0.368707061,-0.090979666,10.66856289,0.106318533,0.011191424,-0.016520673
3,1688394070.7791228,0.368707061,-0.090979666,10.66616821,0.106318533,0.011191424,-0.016787136
4,1688394070.7791228,0.366312861,-0.095768064,10.66616821,0.106584989,0.011191424,-0.016787136
5,1688394070.7791228,0.366312861,-0.098162271,10.66377449,0.106584989,0.011191424,-0.016787136
6,1688394070.7791228,0.368707061,-0.098162271,10.66616821,0.106318533,0.011191424,-0.016520673
7,1688394070.7791228,0.368707061,-0.10055647,10.66377449,0.106318533,0.010924961,-0.016787136
8,1688394070.7791228,0.37349546,-0.10055647,10.66377449,0.106318533,0.010924961,-0.016520673
9,1688394070.7791228,0.375889659,-0.10055647,10.66137981,0.106318533,0.010924961,-0.016520673
10,1688394070.7791228,0.375889659,-0.10055647,10.65419769,0.106318533,0.010924961,-0.016787136
11,1688394070.7791228,0.378283858,-0.098162271,10.65419769,0.106318533,0.011191424,-0.016787136
12,1688394070.7791228,0.378283858,-0.098162271,10.65659142,0.106318533,0.011191424,-0.016787136
13,1688394070.7791228,0.375889659,-0.098162271,10.64940929,0.106318533,0.011191424,-0.016787136
14,1688394070.7791228,0.37349546,-0.098162271,10.6446209,0.106052071,0.010924961,-0.016787136
0,1688394070.8271167,0.356736064,-0.086191259,10.6398325,0.106318533,0.011457887,-0.016254211
1,1688394070.8271167,0.359130263,-0.086191259,10.6398325,0.106318533,0.011457887,-0.016254211
2,1688394070.8271167,0.359130263,-0.088585466,10.6398325,0.106318533,0.011457887,-0.016520673
3,1688394070.8271167,0.356736064,-0.086191259,10.6398325,0.106318533,0.011457887,-0.016520673
4,1688394070.8271167,0.359130263,-0.086191259,10.64222622,0.106318533,0.011191424,-0.016520673
5,1688394070.8271167,0.359130263,-0.088585466,10.6446209,0.106318533,0.011191424,-0.016520673
6,1688394070.8271167,0.359130263,-0.088585466,10.65180302,0.106052071,0.011191424,-0.016254211
7,1688394070.8271167,0.359130263,-0.088585466,10.64940929,0.106318533,0.011191424,-0.016520673
8,1688394070.8271167,0.354341865,-0.088585466,10.64701462,0.106052071,0.011191424,-0.016520673
9,1688394070.8271167,0.354341865,-0.086191259,10.64701462,0.106318533,0.010924961,-0.016520673
10,1688394070.8271167,0.354341865,-0.086191259,10.64940929,0.106052071,0.011191424,-0.016520673
11,1688394070.8271167,0.356736064,-0.088585466,10.64940929,0.106052071,0.011191424,-0.016520673
12,1688394070.8271167,0.359130263,-0.090979666,10.65180302,0.106318533,0.011191424,-0.016254211
13,1688394070.8271167,0.361524463,-0.093373865,10.65180302,0.106318533,0.011191424,-0.016520673
14,1688394070.8271167,0.361524463,-0.093373865,10.64701462,0.106052071,0.011191424,-0.016520673
0,1688394070.8650732,0.356736064,-0.093373865,10.65659142,0.106052071,0.011191424,-0.016520673
1,1688394070.8650732,0.356736064,-0.095768064,10.65180302,0.106052071,0.011457887,-0.016520673
2,1688394070.8650732,0.356736064,-0.095768064,10.64940929,0.106052071,0.011457887,-0.016520673
3,1688394070.8650732,0.356736064,-0.098162271,10.64940929,0.106052071,0.011457887,-0.016520673
4,1688394070.8650732,0.359130263,-0.10055647,10.6446209,0.106052071,0.011457887,-0.016520673
5,1688394070.8650732,0.359130263,-0.10055647,10.64701462,0.106052071,0.011191424,-0.016520673
6,1688394070.8650732,0.359130263,-0.098162271,10.64701462,0.106052071,0.011191424,-0.016520673
7,1688394070.8650732,0.356736064,-0.098162271,10.64940929,0.106318533,0.011191424,-0.016520673
8,1688394070.8650732,0.356736064,-0.095768064,10.64940929,0.106052071,0.011191424,-0.016520673
9,1688394070.8650732,0.354341865,-0.095768064,10.64940929,0.106052071,0.011191424,-0.016520673
10,1688394070.8650732,0.351947635,-0.095768064,10.64940929,0.106052071,0.011191424,-0.016520673
11,1688394070.8650732,0.351947635,-0.095768064,10.65419769,0.106052071,0.011457887,-0.016520673
12,1688394070.8650732,0.354341865,-0.098162271,10.65419769,0.106052071,0.011457887,-0.016254211
13,1688394070.8650732,0.356736064,-0.098162271,10.65419769,0.106052071,0.011457887,-0.016254211
14,1688394070.8650732,0.356736064,-0.098162271,10.65419769,0.106052071,0.011191424,-0.016520673
0,1688394070.942032,0.363918662,-0.090979666,10.6398325,0.106318533,0.011457887,-0.016254211
1,1688394070.942032,0.363918662,-0.090979666,10.64701462,0.106584989,0.011457887,-0.015987748
2,1688394070.942032,0.363918662,-0.090979666,10.64940929,0.106584989,0.011457887,-0.015987748
3,1688394070.942032,0.363918662,-0.090979666,10.64940929,0.106584989,0.011457887,-0.016254211
4,1688394070.942032,0.361524463,-0.093373865,10.64940929,0.106318533,0.011191424,-0.015987748
5,1688394070.942032,0.363918662,-0.093373865,10.65180302,0.106318533,0.011191424,-0.016254211
6,1688394070.942032,0.363918662,-0.093373865,10.64701462,0.106318533,0.011191424,-0.016520673
7,1688394070.942032,0.363918662,-0.093373865,10.6446209,0.106052071,0.011191424,-0.016520673
8,1688394070.942032,0.363918662,-0.093373865,10.6446209,0.106052071,0.011457887,-0.016520673
9,1688394070.942032,0.361524463,-0.093373865,10.6398325,0.106052071,0.011724349,-0.016520673
10,1688394070.942032,0.361524463,-0.090979666,10.6398325,0.106052071,0.011724349,-0.016520673
11,1688394070.942032,0.361524463,-0.090979666,10.6398325,0.106052071,0.011457887,-0.016520673
12,1688394070.942032,0.361524463,-0.090979666,10.6398325,0.106052071,0.011457887,-0.016520673
13,1688394070.942032,0.363918662,-0.093373865,10.64222622,0.106052071,0.011457887,-0.016254211
14,1688394070.942032,0.361524463,-0.093373865,10.64222622,0.105785601,0.011191424,-0.016254211
0,1688394070.9820065,0.354341865,-0.088585466,10.6254673,0.106318533,0.011724349,-0.016520673
1,1688394070.9820065,0.356736064,-0.088585466,10.62786102,0.106052071,0.011457887,-0.016254211
2,1688394070.9820065,0.354341865,-0.088585466,10.6254673,0.106318533,0.011457887,-0.016254211
3,1688394070.9820065,0.356736064,-0.093373865,10.6254673,0.106052071,0.011457887,-0.016520673
4,1688394070.9820065,0.356736064,-0.095768064,10.6254673,0.106052071,0.011191424,-0.016520673
5,1688394070.9820065,0.354341865,-0.095768064,10.6254673,0.105785601,0.011191424,-0.016520673
6,1688394070.9820065,0.351947635,-0.093373865,10.62307262,0.105785601,0.011191424,-0.016254211
7,1688394070.9820065,0.356736064,-0.095768064,10.6254673,0.105785601,0.011191424,-0.016254211
8,1688394070.9820065,0.356736064,-0.095768064,10.62786102,0.105785601,0.010924961,-0.016254211
9,1688394070.9820065,0.359130263,-0.098162271,10.63264942,0.105785601,0.011191424,-0.016520673
10,1688394070.9820065,0.359130263,-0.098162271,10.6398325,0.105785601,0.011191424,-0.016520673
11,1688394070.9820065,0.359130263,-0.098162271,10.64701462,0.105785601,0.011191424,-0.016254211
12,1688394070.9820065,0.361524463,-0.10055647,10.65180302,0.105785601,0.011457887,-0.016520673
13,1688394070.9820065,0.359130263,-0.10055647,10.66137981,0.106318533,0.011457887,-0.016254211
14,1688394070.9820065,0.359130263,-0.10055647,10.66856289,0.106318533,0.011724349,-0.016254211
0,1688394071.0099897,0.349553436,-0.10055647,10.64222622,0.106318533,0.011724349,-0.016254211
1,1688394071.0099897,0.351947635,-0.10055647,10.6446209,0.106052071,0.011724349,-0.016254211
2,1688394071.0099897,0.354341865,-0.10055647,10.64701462,0.106318533,0.011724349,-0.016254211
3,1688394071.0099897,0.356736064,-0.10055647,10.65419769,0.106584989,0.011724349,-0.016520673
4,1688394071.0099897,0.354341865,-0.10055647,10.66137981,0.106318533,0.011724349,-0.016520673
5,1688394071.0099897,0.356736064,-0.10055647,10.66856289,0.106584989,0.011724349,-0.016254211
6,1688394071.0099897,0.356736064,-0.098162271,10.66856289,0.106318533,0.011724349,-0.016254211
7,1688394071.0099897,0.354341865,-0.098162271,10.66616821,0.106052071,0.011724349,-0.016520673
8,1688394071.0099897,0.356736064,-0.093373865,10.66377449,0.106052071,0.011724349,-0.016254211
9,1688394071.0099897,0.356736064,-0.093373865,10.65898609,0.106052071,0.011724349,-0.016254211
10,1688394071.0099897,0.359130263,-0.090979666,10.65659142,0.106318533,0.011724349,-0.016254211
11,1688394071.0099897,0.359130263,-0.093373865,10.65180302,0.106318533,0.011457887,-0.016520673
12,1688394071.0099897,0.356736064,-0.090979666,10.6446209,0.106584989,0.011457887,-0.016520673
13,1688394071.0099897,0.359130263,-0.090979666,10.6398325,0.106584989,0.011191424,-0.016254211
14,1688394071.0099897,0.361524463,-0.090979666,10.63743782,0.106318533,0.011191424,-0.016520673
0,1688394071.0379744,0.349553436,-0.098162271,10.65419769,0.106318533,0.010658499,-0.016254211
1,1688394071.0379744,0.347159237,-0.095768064,10.65180302,0.106318533,0.010658499,-0.016520673
2,1688394071.0379744,0.344765037,-0.095768064,10.64701462,0.106318533,0.010658499,-0.016520673
3,1688394071.0379744,0.344765037,-0.095768064,10.6398325,0.106318533,0.010658499,-0.016520673
4,1688394071.0379744,0.344765037,-0.095768064,10.6350441,0.106318533,0.010924961,-0.016520673
5,1688394071.0379744,0.351947635,-0.093373865,10.6398325,0.106318533,0.010924961,-0.016520673
6,1688394071.0379744,0.354341865,-0.093373865,10.64222622,0.106318533,0.011457887,-0.016520673
7,1688394071.0379744,0.354341865,-0.093373865,10.64701462,0.106318533,0.011457887,-0.016520673
8,1688394071.0379744,0.354341865,-0.093373865,10.6446209,0.106318533,0.011457887,-0.016520673
9,1688394071.0379744,0.354341865,-0.090979666,10.6446209,0.106318533,0.011191424,-0.016254211
10,1688394071.0379744,0.356736064,-0.088585466,10.64940929,0.106318533,0.011457887,-0.016520673
11,1688394071.0379744,0.361524463,-0.090979666,10.65180302,0.106318533,0.011457887,-0.016520673
12,1688394071.0379744,0.361524463,-0.095768064,10.65419769,0.106318533,0.011191424,-0.016520673
13,1688394071.0379744,0.359130263,-0.095768064,10.65898609,0.106318533,0.011457887,-0.016787136
14,1688394071.0379744,0.356736064,-0.10055647,10.66137981,0.106318533,0.011457887,-0.016520673
0,1688394071.0659573,0.366312861,-0.098162271,10.64701462,0.106318533,0.011457887,-0.016254211
1,1688394071.0659573,0.363918662,-0.095768064,10.64940929,0.106052071,0.011191424,-0.015987748
2,1688394071.0659573,0.359130263,-0.095768064,10.64701462,0.106318533,0.011191424,-0.015987748
3,1688394071.0659573,0.356736064,-0.098162271,10.6446209,0.106052071,0.011191424,-0.015987748
4,1688394071.0659573,0.356736064,-0.095768064,10.64222622,0.106052071,0.011191424,-0.015987748
5,1688394071.0659573,0.356736064,-0.093373865,10.64222622,0.105785601,0.011457887,-0.015987748
6,1688394071.0659573,0.359130263,-0.090979666,10.6350441,0.106052071,0.011457887,-0.015987748
