,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
0,1693677510917712800,1.254561663,0.44651863,10.28189945,-0.06261868,-0.002398162,-0.009192956,-17,45,92,15,-1
1,1693677510918712800,1.254561663,0.447715729,10.28070164,-0.062751912,-0.002398162,-0.009192956,-22,46,89,13,-2
2,1693677510919712800,1.254561663,0.44651863,10.27950478,-0.06261868,-0.002664625,-0.009059724,-15,48,88,13,-2
3,1693677510920712800,1.250970364,0.44651863,10.28070164,-0.06261868,-0.002664625,-0.009059724,-18,39,90,10,-2
4,1693677510921712800,1.249773264,0.44651863,10.28549004,-0.062751912,-0.002664625,-0.008926493,-17,49,95,14,0
0,1693677510963687900,1.255758762,0.450109929,10.27950478,-0.06261868,-0.002664625,-0.009192956,-11,52,90,13,-3
1,1693677510964687900,1.256955862,0.452504128,10.28309631,-0.062751912,-0.002531394,-0.009192956,-56,43,88,2,15
2,1693677510965687900,1.258152962,0.451307029,10.28070164,-0.062885143,-0.002531394,-0.009192956,-24,53,90,13,-2
3,1693677510966687900,1.259350061,0.453701228,10.27711105,-0.062885143,-0.002531394,-0.009059724,-23,45,86,13,-2
4,1693677510967687900,1.255758762,0.453701228,10.27950478,-0.062885143,-0.002531394,-0.009192956,-19,42,80,10,-1
0,1693677510997667300,1.256955862,0.436941803,10.28189945,-0.063284837,-0.002664625,-0.009059724,-12,49,90,13,4
1,1693677510998667300,1.256955862,0.436941803,10.28668785,-0.063284837,-0.002531394,-0.009059724,-22,42,86,10,-2
2,1693677510999667300,1.259350061,0.442927301,10.29386997,-0.063284837,-0.002531394,-0.009059724,-18,46,90,13,-1
3,1693677511000667300,1.260547161,0.44532153,10.29267311,-0.063418068,-0.002531394,-0.009059724,-24,47,89,11,-4
4,1693677511001667300,1.261744261,0.447715729,10.28668785,-0.063418068,-0.002264931,-0.009326187,-22,46,89,8,1
0,1693677511041643300,1.26294136,0.44651863,10.27711105,-0.062885143,-0.002531394,-0.009192956,-19,38,90,13,1
1,1693677511042643300,1.26413846,0.442927301,10.27830791,-0.063151613,-0.002531394,-0.009326187,-22,47,90,13,-3
2,1693677511043643300,1.26413846,0.441730201,10.27591324,-0.063151613,-0.002531394,-0.009326187,-27,46,87,9,-1
3,1693677511044643300,1.26294136,0.440533102,10.27351952,-0.063151613,-0.002398162,-0.009192956,-21,50,90,14,-2
4,1693677511045643300,1.26294136,0.441730201,10.27471638,-0.063018374,-0.002398162,-0.009192956,-22,45,90,13,-1
0,1693677511119597200,1.254561663,0.439336002,10.27830791,-0.063284837,-0.002398162,-0.008926493,-17,46,89,13,0
1,1693677511120597200,1.260547161,0.438138902,10.27232265,-0.063284837,-0.002531394,-0.008926493,-23,42,87,13,-3
2,1693677511121597200,1.261744261,0.435744703,10.27351952,-0.063284837,-0.002531394,-0.008793262,-23,51,90,11,-7
3,1693677511122597200,1.256955862,0.435744703,10.27232265,-0.063151613,-0.002398162,-0.008793262,-19,45,86,12,-1
4,1693677511123597200,1.254561663,0.435744703,10.27351952,-0.063151613,-0.002398162,-0.008926493,-17,51,90,11,-1
0,1693677511151579100,1.259350061,0.439336002,10.27830791,-0.063551299,-0.002797856,-0.009192956,-17,49,87,13,-2
1,1693677511152579100,1.260547161,0.440533102,10.27112484,-0.063418068,-0.002931087,-0.009192956,-22,47,90,11,-3
2,1693677511153579100,1.261744261,0.441730201,10.26873112,-0.063551299,-0.003064318,-0.009192956,-19,42,88,12,-2
3,1693677511154579100,1.26533556,0.442927301,10.26633644,-0.063418068,-0.00319755,-0.009192956,-24,47,90,12,0
4,1693677511155579100,1.26533556,0.441730201,10.26873112,-0.063284837,-0.00319755,-0.009192956,-20,45,89,13,0
0,1693677511185560700,1.256955862,0.444124401,10.27591324,-0.063151613,-0.001865237,-0.008793262,-22,47,90,13,1
1,1693677511186560700,1.258152962,0.440533102,10.27591324,-0.063284837,-0.001865237,-0.008660031,-17,49,90,14,-1
2,1693677511187560700,1.258152962,0.444124401,10.27711105,-0.063151613,-0.001732006,-0.008793262,-18,47,92,13,0
3,1693677511188560700,1.256955862,0.442927301,10.27711105,-0.063151613,-0.001998469,-0.008926493,-21,45,90,13,-2
4,1693677511189560700,1.256955862,0.444124401,10.28070164,-0.063284837,-0.001998469,-0.008926493,-18,50,89,13,0
0,1693677511214543800,1.254561663,0.447715729,10.30703831,-0.063284837,-0.002531394,-0.009459418,-20,44,90,11,-1
1,1693677511215543800,1.256955862,0.447715729,10.30344677,-0.063284837,-0.002531394,-0.009459418,-24,33,84,12,-5
2,1693677511216543800,1.254561663,0.448912829,10.30344677,-0.063151613,-0.002398162,-0.009326187,-18,42,88,10,-4
3,1693677511217543800,1.253364563,0.448912829,10.29865837,-0.063151613,-0.002398162,-0.009326187,-18,47,90,13,0
4,1693677511218543800,1.254561663,0.448912829,10.30105305,-0.062885143,-0.002664625,-0.009326187,-19,48,90,13,-3
0,1693677511243527300,1.249773264,0.44532153,10.27711105,-0.063151613,-0.002531394,-0.009326187,-23,50,90,15,-3
1,1693677511244527300,1.250970364,0.44651863,10.27232265,-0.063151613,-0.002398162,-0.009326187,-27,47,90,12,-7
2,1693677511245527300,1.250970364,0.442927301,10.26992798,-0.063284837,-0.002398162,-0.009192956,-20,41,89,16,-2
3,1693677511246527300,1.250970364,0.441730201,10.27112484,-0.063418068,-0.002264931,-0.009326187,-12,41,90,13,-2
4,1693677511247527300,1.247379065,0.444124401,10.27351952,-0.063418068,-0.002264931,-0.009459418,-18,45,87,13,-1
0,1693677511272509500,1.253364563,0.438138902,10.27830791,-0.062751912,-0.001998469,-0.009059724,-22,39,87,8,-7
1,1693677511273509500,1.250970364,0.439336002,10.27830791,-0.062751912,-0.0021317,-0.008926493,-23,46,89,11,17
