,timestamp_leitura,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z
0,1683958935.556213,0.301669419,-0.256179571,10.58955383,0.107650839,0.012523737,-0.017053599
1,1683958935.556213,0.304063618,-0.256179571,10.58476543,0.107650839,0.012523737,-0.017053599
2,1683958935.556213,0.301669419,-0.258573771,10.58476543,0.107650839,0.012523737,-0.017320061
3,1683958935.556213,0.301669419,-0.258573771,10.58476543,0.107650839,0.012523737,-0.017320061
4,1683958935.556213,0.304063618,-0.258573771,10.58716011,0.107650839,0.012523737,-0.017053599
5,1683958935.556213,0.304063618,-0.258573771,10.57997704,0.107650839,0.012790199,-0.017320061
6,1683958935.556213,0.306457818,-0.258573771,10.57997704,0.107650839,0.012790199,-0.017320061
7,1683958935.556213,0.306457818,-0.256179571,10.57997704,0.107650839,0.012790199,-0.017320061
8,1683958935.556213,0.306457818,-0.256179571,10.58237171,0.107650839,0.012790199,-0.017320061
9,1683958935.556213,0.306457818,-0.258573771,10.58237171,0.107384384,0.012790199,-0.017053599
10,1683958935.556213,0.306457818,-0.256179571,10.57997704,0.107384384,0.012790199,-0.017320061
11,1683958935.556213,0.311246216,-0.256179571,10.57758331,0.107384384,0.012790199,-0.017053599
12,1683958935.556213,0.313640416,-0.256179571,10.58237171,0.107384384,0.012523737,-0.017320061
13,1683958935.556213,0.316034615,-0.256179571,10.58476543,0.107384384,0.012523737,-0.017320061
14,1683958935.556213,0.313640416,-0.253785372,10.57997704,0.107384384,0.012523737,-0.017053599
0,1683958935.5981889,0.306457818,-0.260968,10.57997704,0.108183771,0.013056661,-0.017320061
1,1683958935.5981889,0.306457818,-0.260968,10.58237171,0.108183771,0.013056661,-0.017586524
2,1683958935.5981889,0.304063618,-0.258573771,10.58955383,0.108183771,0.013056661,-0.017586524
3,1683958935.5981889,0.308852017,-0.258573771,10.58476543,0.108183771,0.013056661,-0.017320061
4,1683958935.5981889,0.306457818,-0.258573771,10.57997704,0.108183771,0.013056661,-0.017320061
5,1683958935.5981889,0.306457818,-0.258573771,10.58716011,0.108183771,0.013056661,-0.017320061
6,1683958935.5981889,0.306457818,-0.253785372,10.58955383,0.107917301,0.013056661,-0.017053599
7,1683958935.5981889,0.306457818,-0.253785372,10.59194851,0.107917301,0.012790199,-0.017320061
8,1683958935.5981889,0.306457818,-0.253785372,10.59194851,0.108183771,0.012790199,-0.017320061
9,1683958935.5981889,0.304063618,-0.253785372,10.59194851,0.108183771,0.012790199,-0.017320061
10,1683958935.5981889,0.308852017,-0.253785372,10.58716011,0.108183771,0.012790199,-0.017320061
11,1683958935.5981889,0.308852017,-0.248996973,10.58476543,0.108183771,0.012790199,-0.017320061
12,1683958935.5981889,0.308852017,-0.246602774,10.58476543,0.107917301,0.012790199,-0.017320061
13,1683958935.5981889,0.306457818,-0.248996973,10.58476543,0.107917301,0.012790199,-0.017320061
14,1683958935.5981889,0.308852017,-0.248996973,10.58716011,0.107917301,0.013056661,-0.017320061
0,1683958935.636167,0.313640416,-0.258573771,10.57758331,0.108183771,0.013323124,-0.017053599
1,1683958935.636167,0.311246216,-0.258573771,10.57518864,0.108183771,0.013323124,-0.017053599
2,1683958935.636167,0.306457818,-0.260968,10.57997704,0.108183771,0.013323124,-0.017320061
3,1683958935.636167,0.308852017,-0.260968,10.58716011,0.108183771,0.013056661,-0.017053599
4,1683958935.636167,0.308852017,-0.260968,10.58476543,0.108183771,0.013056661,-0.017053599
5,1683958935.636167,0.308852017,-0.260968,10.58716011,0.108183771,0.013056661,-0.017053599
6,1683958935.636167,0.308852017,-0.260968,10.58476543,0.108183771,0.012790199,-0.017053599
7,1683958935.636167,0.311246216,-0.260968,10.57997704,0.108183771,0.013056661,-0.017053599
