timestamp_leitura,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
1688395971.1972187,0.354341865,-0.088585466,10.63743782,0.106052071,0.010924961,-0.016254211,,,,,,
1688395971.1972187,0.356736064,-0.088585466,10.6350441,0.106052071,0.010658499,-0.016254211,,,,,,
1688395971.1972187,0.359130263,-0.090979666,10.6398325,0.106052071,0.011191424,-0.016254211,,,,,,
1688395971.1972187,0.356736064,-0.088585466,10.6398325,0.106052071,0.011191424,-0.016520673,,,,,,
1688395971.1972187,0.359130263,-0.090979666,10.6398325,0.106052071,0.011191424,-0.016520673,,,,,,
1688395971.1972187,0.359130263,-0.093373865,10.6398325,0.106052071,0.011457887,-0.016520673,,,,,,
1688395971.1972187,0.356736064,-0.090979666,10.6446209,0.105785601,0.011457887,-0.016520673,,,,,,
1688395971.1972187,0.354341865,-0.090979666,10.64222622,0.106052071,0.011457887,-0.016787136,,,,,,
1688395971.1972187,0.354341865,-0.090979666,10.6446209,0.105785601,0.011457887,-0.016787136,,,,,,
1688395971.1972187,0.356736064,-0.090979666,10.63743782,0.105785601,0.011457887,-0.016787136,,,,,,
1688395971.1972187,0.356736064,-0.093373865,10.6398325,0.105785601,0.011191424,-0.016787136,,,,,,
1688395971.1972187,0.354341865,-0.090979666,10.64701462,0.105785601,0.011457887,-0.016787136,,,,,,
1688395971.1972187,0.356736064,-0.090979666,10.65419769,0.106052071,0.010924961,-0.016787136,,,,,,
1688395971.1972187,0.354341865,-0.090979666,10.65659142,0.105785601,0.010924961,-0.016787136,,,,,,
1688395971.1972187,0.351947635,-0.088585466,10.65659142,0.105785601,0.010924961,-0.016520673,,,,,,
1688395971.1972187,,,,,,,0.988805294,0.14844051,9.26556015,-0.105519146,0.022915773,-0.013323124
1688395971.1972187,,,,,,,0.986411095,0.14844051,9.270348549,-0.105519146,0.022915773,-0.013323124
1688395971.1972187,,,,,,,0.986411095,0.14844051,9.272743225,-0.105519146,0.022915773,-0.013323124
1688395971.1972187,,,,,,,0.981622696,0.14844051,9.275136948,-0.105519146,0.022915773,-0.013323124
1688395971.1972187,,,,,,,0.981622696,0.146046311,9.277531624,-0.105519146,0.022915773,-0.013323124
