,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
0,1693677675551448100,1.031900883,-0.85473001,10.25436592,-0.061819296,-0.001332312,-0.008393568,-23,45,89,4,-9
1,1693677675552448100,1.030703783,-0.858321309,10.26154804,-0.061686065,-0.001332312,-0.008526799,-27,51,94,23,13
2,1693677675553448100,1.029506683,-0.858321309,10.26274586,-0.061686065,-0.001465544,-0.008660031,-33,46,90,5,-12
3,1693677675554448100,1.022324085,-0.85353291,10.24957752,-0.061952524,-0.001199081,-0.008793262,-22,38,80,15,3
4,1693677675555448100,1.022324085,-0.85353291,10.24838066,-0.062085759,-0.001332312,-0.008793262,-20,47,78,17,4
0,1693677675589426000,1.025915384,-0.858321309,10.26274586,-0.062485453,-0.001865237,-0.007860643,-27,43,83,5,-12
1,1693677675590426000,1.027112484,-0.852335811,10.26633644,-0.062352221,-0.001732006,-0.007993874,-27,42,86,13,-9
2,1693677675591426000,1.027112484,-0.852335811,10.26873112,-0.062218986,-0.001998469,-0.007993874,-23,34,85,4,-8
3,1693677675592426000,1.025915384,-0.847547412,10.26394272,-0.062485453,-0.001998469,-0.008127105,-27,46,84,8,-13
4,1693677675593426000,1.024718285,-0.849941611,10.25795746,-0.062352221,-0.001865237,-0.008127105,-26,38,90,4,-5
0,1693677675623406400,1.025915384,-0.852335811,10.26035118,-0.062218986,-0.001732006,-0.008260337,-27,41,85,6,-5
1,1693677675624406400,1.024718285,-0.85473001,10.26394272,-0.061952524,-0.001732006,-0.008260337,-24,39,84,10,-10
2,1693677675625406400,1.023521185,-0.85353291,10.25915432,-0.061952524,-0.001865237,-0.007993874,-18,45,87,10,-4
3,1693677675626406400,1.025915384,-0.85473001,10.25915432,-0.061952524,-0.001865237,-0.007993874,-3,65,104,28,14
4,1693677675627406400,1.025915384,-0.858321309,10.25915432,-0.061952524,-0.001998469,-0.007993874,-27,42,83,11,-8
0,1693677675652389400,1.039083481,-0.858321309,10.25316906,-0.061952524,-0.001598775,-0.008393568,-22,45,83,10,-9
1,1693677675653389400,1.04147768,-0.858321309,10.25077438,-0.062085759,-0.001598775,-0.008260337,-23,45,88,6,-7
2,1693677675654389400,1.036689281,-0.860715508,10.25316906,-0.062085759,-0.001598775,-0.008127105,-28,35,90,3,-12
3,1693677675655389400,1.034295082,-0.859518409,10.25077438,-0.062085759,-0.001598775,-0.008127105,-26,44,88,11,-10
4,1693677675656389400,1.031900883,-0.857124209,10.24957752,-0.062218986,-0.001332312,-0.008127105,-31,37,84,4,-15
0,1693677675672378000,1.024718285,-0.860715508,10.24359226,-0.062218986,-0.000932619,-0.008127105,-27,46,89,8,-11
1,1693677675673378000,1.027112484,-0.860715508,10.24119759,-0.062218986,-0.00106585,-0.007993874,-23,45,83,11,-6
2,1693677675674378000,1.027112484,-0.860715508,10.24838066,-0.062218986,-0.001199081,-0.008127105,-3,64,105,27,14
3,1693677675675378000,1.024718285,-0.859518409,10.25316906,-0.062218986,-0.001199081,-0.008127105,-1,60,107,29,11
4,1693677675676378000,1.024718285,-0.859518409,10.25795746,-0.062218986,-0.001199081,-0.008127105,-2,61,104,27,-8
0,1693677675694365100,1.016338587,-0.85592711,10.26513958,-0.061952524,-0.001465544,-0.008127105,-27,22,81,10,-5
1,1693677675695365100,1.018732786,-0.85473001,10.26633644,-0.061952524,-0.001465544,-0.008127105,-32,41,86,9,-8
2,1693677675696365100,1.018732786,-0.85473001,10.26992798,-0.061952524,-0.001332312,-0.008127105,-14,55,83,6,-9
3,1693677675697365100,1.019929886,-0.851138711,10.26513958,-0.061819296,-0.001332312,-0.008260337,-28,42,77,2,-8
4,1693677675698365100,1.021126986,-0.849941611,10.26633644,-0.061819296,-0.001332312,-0.008260337,-12,36,84,10,-8
0,1693677675712356600,1.021126986,-0.851138711,10.26154804,-0.061952524,-0.001598775,-0.008393568,-22,45,88,10,-5
1,1693677675713356600,1.021126986,-0.851138711,10.25915432,-0.062085759,-0.001598775,-0.008393568,-12,59,84,5,-11
2,1693677675714356600,1.023521185,-0.851138711,10.25795746,-0.062085759,-0.001598775,-0.008260337,-26,37,83,3,-9
3,1693677675715356600,1.023521185,-0.85353291,10.25915432,-0.061952524,-0.001598775,-0.008260337,-18,28,88,8,-11
4,1693677675716356600,1.023521185,-0.849941611,10.25915432,-0.061952524,-0.001598775,-0.008260337,-20,45,84,6,-13
0,1693677675730345700,1.018732786,-0.845153213,10.24718285,-0.061952524,-0.00106585,-0.008127105,-28,43,81,11,-2
1,1693677675731345700,1.023521185,-0.845153213,10.24957752,-0.061819296,-0.00106585,-0.008127105,-30,47,89,10,-9
2,1693677675732345700,1.024718285,-0.847547412,10.24838066,-0.062085759,-0.00106585,-0.008260337,-27,36,88,13,-13
3,1693677675733345700,1.024718285,-0.848744512,10.24359226,-0.062218986,-0.00106585,-0.008260337,-24,38,84,12,-9
4,1693677675734345700,1.022324085,-0.849941611,10.24359226,-0.062352221,-0.000932619,-0.008260337,-23,42,81,13,-9
0,1693677675747336100,1.023521185,-0.857124209,10.24838066,-0.062352221,-0.001332312,-0.008926493,-8,58,103,28,11
1,1693677675748336100,1.023521185,-0.857124209,10.24718285,-0.062352221,-0.001465544,-0.008793262,-1,65,117,31,8
2,1693677675749336100,1.025915384,-0.85353291,10.24718285,-0.062352221,-0.001465544,-0.008793262,-30,35,91,20,-1
3,1693677675750336100,1.024718285,-0.849941611,10.24718285,-0.062352221,-0.001465544,-0.008793262,-26,37,80,10,-9
4,1693677675751336100,1.027112484,-0.847547412,10.24957752,-0.062352221,-0.001332312,-0.008793262,-24,45,88,11,-7
0,1693677675765326700,1.036689281,-0.849941611,10.25316906,-0.062085759,-0.001465544,-0.008526799,-31,39,77,10,-8
1,1693677675766326700,1.036689281,-0.849941611,10.25795746,-0.062218986,-0.001598775,-0.008393568,-23,41,85,8,-7
2,1693677675767326700,1.039083481,-0.852335811,10.25915432,-0.062218986,-0.001598775,-0.008526799,-24,37,90,6,-8
3,1693677675768326700,1.040280581,-0.852335811,10.25795746,-0.062218986,-0.001732006,-0.008526799,-26,41,90,13,-6
4,1693677675769326700,1.036689281,-0.851138711,10.25556278,-0.062352221,-0.001732006,-0.008526799,-27,34,83,13,-9
0,1693677675782314700,1.036689281,-0.85353291,10.24957752,-0.062218986,-0.001199081,-0.008260337,-33,36,81,-1,-11
1,1693677675783314700,1.036689281,-0.852335811,10.25556278,-0.062352221,-0.001332312,-0.008260337,-28,43,80,12,-9
2,1693677675784314700,1.034295082,-0.851138711,10.25077438,-0.062485453,-0.001332312,-0.008393568,-21,45,83,13,-7
3,1693677675785314700,1.033097982,-0.85353291,10.25077438,-0.062485453,-0.001199081,-0.008260337,-24,41,92,11,-5
4,1693677675786314700,1.031900883,-0.852335811,10.25316906,-0.062485453,-0.001332312,-0.008393568,-31,37,85,7,-12
0,1693677675806304200,1.017535686,-0.852335811,10.25915432,-0.062485453,-0.001732006,-0.008393568,-28,45,83,2,-9
1,1693677675807304200,1.016338587,-0.85353291,10.26035118,-0.062352221,-0.001732006,-0.008393568,-26,36,88,3,-13
2,1693677675808304200,1.018732786,-0.85353291,10.25556278,-0.062352221,-0.001732006,-0.008393568,-20,47,89,2,-7
3,1693677675809304200,1.018732786,-0.85473001,10.25197124,-0.062352221,-0.001732006,-0.008393568,-28,41,87,10,-8
4,1693677675810304200,1.019929886,-0.857124209,10.25316906,-0.062218986,-0.001732006,-0.008260337,-26,41,89,13,-9
0,1693677675823293900,1.027112484,-0.852335811,10.25556278,-0.062085759,-0.001332312,-0.007860643,-24,41,83,6,-11
