timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1693678133211114400,-5,-18,-105,37,13,17,-7,-7
1693678133214114400,-17,-27,-95,-67,-2,15,-14,-10
1693678133215112800,6,31,79,41,-63,-29,-4,-1
1693678133216111500,-4,-8,-36,11,-6,20,-2,-3
1693678133224120000,-1,-6,-3,-85,10,-1,5,0
1693678133227105800,3,7,33,56,29,34,12,3
1693678133228106700,-8,-32,-104,-74,39,62,-2,-2
1693678133230104300,-1,1,20,3,-57,28,3,-1
1693678133232102000,16,42,127,63,-62,-20,7,10
1693678133233102200,5,1,-43,32,41,-59,0,2
1693678133234100500,-7,-29,-100,-45,72,-25,-8,-4
1693678133235100900,6,19,75,-75,14,23,10,4
1693678133248026500,-4,-9,-24,-61,-37,-17,5,-2
1693678133250023900,-2,-3,-4,106,-20,71,-14,-2
1693678133260692100,-1,10,24,36,5,-39,5,0
1693678133262690100,4,11,27,106,11,-23,-19,0
1693678133264688600,-6,-10,-41,-82,12,19,-7,-6
1693678133265690000,0,-4,-19,1,-4,-8,0,0
1693678133274553600,-2,7,6,61,-33,34,2,1
1693678133275552200,-2,-11,-30,0,23,29,2,-2
1693678133285405200,0,0,16,18,5,-43,9,1
1693678133287426500,8,9,26,6,-8,-14,11,4
1693678133299179900,1,0,10,-32,1,14,-25,-2
1693678133301197900,-1,-1,-15,-1,3,-80,1,0
1693678133307179500,4,8,30,59,13,16,-3,3
1693678133310174100,-3,-9,-23,-66,-6,-22,4,-3
1693678133322983600,-2,-3,2,-22,-10,-31,0,-1
1693678133324986500,2,4,6,-19,-10,3,9,0
1693678133326980900,-5,-17,-44,0,6,-1,-27,-6
1693678133328980800,-1,7,27,-37,-9,-14,8,-2
1693678133386488800,0,-3,-1,-3,0,7,32,-8
1693678133390488000,-104,1,6,8,2,-5,-14,6
1693678133392485500,95,1,4,-1,1,2,10,-13
1693678133394484900,-23,22,-1,-8,-9,-8,-27,15
1693678133396483700,80,7,2,9,5,6,70,25
1693678133398481600,-91,1,9,3,7,5,-7,-85
1693678133400480400,65,-1,-3,2,6,-1,-4,9
1693678133402480700,73,-10,-3,-1,-5,-4,8,37
1693678133405478900,85,2,-18,-24,-15,-5,-46,43
1693678133408477300,27,-2,5,6,5,-6,-10,-6
1693678133411475200,-72,0,-2,-12,-3,-8,61,-18
1693678133414472800,-119,-14,7,20,10,5,-9,-30
1693678133417471500,0,-1,2,0,-1,2,-26,4
1693678133419470600,34,-12,-13,-4,-2,1,-1,16
1693678133422468100,-33,-13,-3,-2,-3,-10,-31,-2
1693678133432462400,-14,22,-4,-14,-5,-5,31,7
1693678133434464900,-110,-11,2,9,3,0,-3,-43
1693678133437460000,-29,-8,-5,1,-5,-1,-6,40
1693678133441456900,21,19,8,10,5,6,-23,13
1693678133443456000,46,-1,-3,0,5,1,8,19
1693678133445454600,-71,1,7,5,0,-12,-22,-10
1693678133446454200,109,-10,-12,-11,-4,2,3,2
1693678133457447400,-34,-2,3,5,2,6,27,14
1693678133459446200,-66,2,1,5,1,1,-20,-69
1693678133462446100,9,-14,-3,-8,-5,-6,-11,18
1693678133465443900,-10,-3,-1,2,0,2,43,-8
1693678133477437000,-94,-17,-4,-6,-3,-2,-9,-57
1693678133480434100,67,-5,-5,-8,-6,2,-8,51
1693678133481434200,5,20,-1,-2,6,0,-27,6
1693678133483433300,72,12,4,5,1,7,6,78
1693678133501423400,5,-10,0,4,-1,-12,-4,-86
1693678133505421200,-86,-22,-8,-11,-7,-5,2,-46
1693678133507418600,45,21,4,6,1,21,2,4
1693678133508420900,5,3,-5,-12,-4,-22,5,66
1693678133514414400,-51,5,7,18,18,21,13,-44
1693678133516414300,34,-14,-13,-17,-22,-16,-30,86
1693678133519413100,-24,4,11,8,2,27,51,-27
1693678133521410900,2,19,-1,-8,-9,-31,-21,-12
