timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1693678309989304200,1.030703783,-0.864306808,10.22683239,-0.060620211,0.000932619,-0.007860643,-17,47,90,15,-8,-0.107739076,2.421735048,10.23042393,0.052626338,-0.027312404,0.037970904,18,36,-29,-25,48
1693678309990304200,1.029506683,-0.863109708,10.22922707,-0.060620211,0.000932619,-0.007727412,-32,45,86,12,-9,-0.111330383,2.421735048,10.22802925,0.052759573,-0.027445635,0.038104136,7,35,-21,-27,46
1693678309991304200,1.033097982,-0.861912608,10.23162079,-0.060620211,0.000932619,-0.007727412,-26,45,84,8,-8,-0.108936176,2.424129248,10.22683239,0.052759573,-0.027312404,0.038237367,14,35,-23,-28,54
1693678309992304200,1.031900883,-0.863109708,10.23162079,-0.060620211,0.000666156,-0.007860643,-31,44,80,10,-13,-0.105344877,2.425326347,10.22802925,0.052759573,-0.027312404,0.038370594,14,39,-27,-27,50
1693678309993304200,1.033097982,-0.864306808,10.23281765,-0.060486984,0.000532925,-0.007860643,-25,55,67,6,-13,-0.105344877,2.422932148,10.23162079,0.0528928,-0.027045943,0.038104136,20,37,-25,-23,52
1693678310109234500,1.015141487,-0.860715508,10.22922707,-0.06008729,0.000666156,-0.007594181,-24,45,87,12,-9,-0.111330383,2.421735048,10.21965027,0.052359879,-0.027045943,0.038104136,8,29,-23,-30,50
1693678310110234500,1.016338587,-0.858321309,10.22563553,-0.06008729,0.000666156,-0.007460949,-27,42,83,7,-15,-0.110133275,2.420537949,10.22204399,0.052359879,-0.027179174,0.038104136,11,30,-21,-28,51
1693678310111234500,1.018732786,-0.85592711,10.22802925,-0.06008729,0.000666156,-0.007460949,-26,41,80,8,-9,-0.107739076,2.420537949,10.22922707,0.05249311,-0.027045943,0.038104136,22,33,-28,-22,50
1693678310112234500,1.018732786,-0.85353291,10.22922707,-0.06008729,0.000666156,-0.007327718,-22,41,76,6,-15,-0.107739076,2.419340849,10.23042393,0.052359879,-0.027179174,0.037970904,5,41,-20,-19,52
1693678310113234500,1.016338587,-0.851138711,10.22443867,-0.059954058,0.000666156,-0.007327718,-24,45,85,8,-11,-0.108936176,2.419340849,10.23042393,0.05249311,-0.027179174,0.037970904,-2,35,-23,-22,50
1693678310168201400,1.018732786,-0.860715508,10.23281765,-0.059954058,0.000666156,-0.007727412,-24,43,90,11,-5,-0.116118781,2.422932148,10.23042393,0.052759573,-0.027312404,0.037704438,19,35,-31,-22,52
1693678310169201400,1.018732786,-0.860715508,10.23521233,-0.059954058,0.000666156,-0.007727412,-28,38,81,4,-13,-0.122104287,2.421735048,10.22922707,0.052759573,-0.027578866,0.03757121,15,30,-25,-22,52
1693678310170201400,1.018732786,-0.859518409,10.23640919,-0.06008729,0.000666156,-0.007594181,-22,37,85,6,-11,-0.124498487,2.419340849,10.23042393,0.052759573,-0.027712099,0.037437979,19,39,-19,-20,55
1693678310171201400,1.018732786,-0.861912608,10.23521233,-0.059954058,0.000799387,-0.007727412,-26,33,85,0,-13,-0.122104287,2.422932148,10.23281765,0.0528928,-0.027578866,0.03757121,20,40,-21,-33,54
1693678310172201400,1.016338587,-0.860715508,10.24119759,-0.059954058,0.000666156,-0.007727412,-24,41,85,7,-7,-0.120907187,2.425326347,10.23640919,0.052759573,-0.027445635,0.03757121,19,35,-24,-22,51
1693678310218171900,1.017535686,-0.858321309,10.23162079,-0.060353752,0.000266462,-0.007594181,-15,55,76,10,-7,-0.117315881,2.41694665,10.21965027,0.052359879,-0.027578866,0.037704438,15,41,-27,-22,45
1693678310219171900,1.018732786,-0.860715508,10.22922707,-0.060486984,0.000266462,-0.007594181,-26,40,79,10,-8,-0.118512981,2.41694665,10.21845245,0.05249311,-0.027712099,0.037704438,15,36,-21,-32,50
1693678310220171900,1.017535686,-0.858321309,10.22683239,-0.060486984,0.000399694,-0.007727412,-27,44,79,0,-12,-0.118512981,2.419340849,10.22084713,0.052626338,-0.027712099,0.037837673,20,44,-21,-21,54
1693678310221171900,1.016338587,-0.859518409,10.23162079,-0.060220521,0.000399694,-0.007594181,-30,38,82,7,-15,-0.116118781,2.420537949,10.22443867,0.052626338,-0.027845331,0.037970904,17,33,-21,-24,46
1693678310222171900,1.016338587,-0.861912608,10.22802925,-0.060353752,0.000266462,-0.007727412,-24,39,84,7,-8,-0.114921682,2.421735048,10.22324085,0.052359879,-0.027845331,0.037970904,15,32,-28,-23,45
1693678310313118500,1.022324085,-0.861912608,10.23042393,-0.060353752,0.000399694,-0.007594181,-18,41,74,5,-12,-0.110133275,2.419340849,10.21845245,0.052226644,-0.027445635,0.038104136,13,35,-19,-24,52
1693678310314118500,1.022324085,-0.865503907,10.23042393,-0.060220521,0.000266462,-0.007594181,-30,43,85,12,-12,-0.111330383,2.420537949,10.22084713,0.052359879,-0.027445635,0.037970904,20,36,-24,-24,55
1693678310315118500,1.022324085,-0.866701007,10.23162079,-0.060353752,0.000399694,-0.007594181,-25,33,81,6,-14,-0.110133275,2.419340849,10.22204399,0.052359879,-0.027312404,0.037837673,18,32,-21,-28,53
1693678310316118500,1.023521185,-0.867898107,10.23042393,-0.060220521,0.000399694,-0.007460949,-27,41,84,8,-8,-0.110133275,2.418143749,10.22084713,0.052359879,-0.027578866,0.037837673,18,40,-32,-24,49
1693678310317118500,1.022324085,-0.869095206,10.22563553,-0.06008729,0.000532925,-0.007460949,-28,42,81,10,-9,-0.110133275,2.420537949,10.22443867,0.052359879,-0.027578866,0.037704438,15,30,-27,-29,50
1693678310386078700,1.022324085,-0.861912608,10.21725559,-0.059954058,0.000799387,-0.007727412,-22,41,85,8,-7,-0.112527482,2.41455245,10.21965027,0.052359879,-0.027312404,0.037704438,18,46,-21,-19,90
1693678310387078700,1.022324085,-0.860715508,10.21486187,-0.059820827,0.000932619,-0.007727412,-26,43,89,7,-8,-0.113724582,2.418143749,10.21486187,0.052226644,-0.027179174,0.037437979,19,35,-21,-20,50
1693678310388078700,1.019929886,-0.863109708,10.21605873,-0.059820827,0.000799387,-0.007727412,-24,41,80,6,-7,-0.111330383,2.41574955,10.21605873,0.052226644,-0.027179174,0.037304748,15,37,-23,-31,50
1693678310389078700,1.017535686,-0.865503907,10.20767879,-0.059820827,0.000799387,-0.007727412,-27,43,84,11,-8,-0.111330383,2.41574955,10.21366405,0.052226644,-0.027179174,0.03757121,11,32,-22,-23,49
1693678310390078700,1.021126986,-0.865503907,10.21246719,-0.06008729,0.000799387,-0.007727412,-15,42,85,12,-9,-0.107739076,2.41694665,10.21366405,0.052359879,-0.027179174,0.037437979,13,45,-20,-26,50
1693678310467030500,1.034295082,-0.85353291,10.24119759,-0.060753446,0.000399694,-0.007594181,-31,36,83,6,-14,-0.106541976,2.41455245,10.22084713,0.052359879,-0.027045943,0.037837673,17,34,-20,-14,55
1693678310468030500,1.030703783,-0.852335811,10.23760605,-0.060753446,0.000266462,-0.007460949,-37,34,83,6,-15,-0.104147777,2.41455245,10.21965027,0.052359879,-0.027045943,0.037970904,14,36,-21,-27,51
1693678310469030500,1.027112484,-0.849941611,10.23640919,-0.060753446,0.000266462,-0.007460949,-27,45,90,3,-8,-0.10295067,2.41694665,10.22204399,0.05249311,-0.027312404,0.037970904,14,31,-22,-27,48
