,timestamp,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
0,1693677708348639400,-0.10175357,2.420537949,10.23880386,0.05595712,-0.026113322,0.036905054,13,43,-26,-23,50
1,1693677708349639400,-0.093373865,2.418143749,10.23281765,0.054358348,-0.024647778,0.036905054,13,36,-29,-28,49
2,1693677708350639400,-0.098162271,2.419340849,10.21366405,0.052226644,-0.023715161,0.037038282,15,33,-24,-24,45
3,1693677708351639400,-0.105344877,2.41574955,10.19091988,0.052093416,-0.023448698,0.036372125,8,36,-26,-33,48
4,1693677708352639400,-0.107739076,2.406172752,10.1789484,0.053692192,-0.023049004,0.036105666,6,36,-34,-33,45
0,1693677708377622500,-0.118512981,2.406172752,10.22324085,0.056356817,-0.029977029,0.038903523,18,33,-21,-24,53
1,1693677708378622500,-0.117315881,2.41335535,10.22563553,0.056223582,-0.03011026,0.039303213,20,30,-27,-23,48
2,1693677708379622500,-0.111330383,2.418143749,10.23162079,0.056090351,-0.029444104,0.039036751,14,32,-31,-28,49
3,1693677708380622500,-0.110133275,2.421735048,10.23880386,0.055690661,-0.02797856,0.038503829,10,28,-31,-29,48
4,1693677708381622500,-0.112527482,2.418143749,10.24119759,0.054624807,-0.026513018,0.037837673,19,42,-15,-26,50
0,1693677708406606200,-0.118512981,2.388216257,10.21246719,0.054491576,-0.026513018,0.03757121,15,35,-27,-28,48
1,1693677708407606200,-0.117315881,2.389413357,10.22204399,0.055290964,-0.027445635,0.037704438,8,36,-29,-24,28
2,1693677708408606200,-0.117315881,2.390610456,10.22563553,0.055157732,-0.028111791,0.037970904,17,30,-29,-33,48
3,1693677708409606200,-0.116118781,2.395398855,10.22084713,0.054758042,-0.028378254,0.038237367,18,28,-32,-28,48
4,1693677708410606200,-0.114921682,2.398990154,10.21965027,0.054758042,-0.028378254,0.038370594,13,44,-28,-19,50
0,1693677708434592300,-0.108936176,2.403778553,10.20528507,0.053558957,-0.025846859,0.037704438,15,29,-23,-31,50
1,1693677708435592300,-0.106541976,2.408566952,10.21127033,0.053692192,-0.026113322,0.037837673,15,35,-31,-27,45
2,1693677708436592300,-0.112527482,2.410961151,10.21246719,0.053958651,-0.026513018,0.037704438,14,40,-34,-31,46
