,data,device,sensor,timestamp
0,615,1,1,24478696
1,0,1,3,24486330
2,96,1,3,24493448
3,0,1,4,24500740
4,17,1,3,24507944
5,65,1,5,24515324
6,0,1,1,24522700
7,132,1,2,24529908
8,0,1,5,24537458
9,120,1,4,24544664
10,0,1,3,24552216
11,69,1,3,24559420
12,0,1,5,24566798
13,0,1,5,24574004
14,96,1,2,24581208
15,0,1,3,24588586
16,133,1,3,24595792
17,0,1,2,24603352
18,105,1,5,24610548
19,0,1,1,24618100
20,35,1,5,24625304
21,26,1,3,24632684
22,0,1,3,24640062
