timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z
2023-04-21 20:31:09.078534,3.275267839,0.095768064,8.956708908,-0.102321595,0.019984685,-0.011457887,,,,,,
2023-04-21 20:31:09.078534,3.275267839,0.098162271,8.956708908,-0.102321595,0.020251149,-0.011457887,,,,,,
2023-04-21 20:31:09.078534,3.275267839,0.098162271,8.961497307,-0.102321595,0.02051761,-0.011457887,,,,,,
2023-04-21 20:31:09.078534,3.275267839,0.098162271,8.966285706,-0.10258805,0.020784073,-0.011191424,,,,,,
2023-04-21 20:31:09.078534,3.277662039,0.10055647,8.971074104,-0.10258805,0.021050537,-0.011191424,,,,,,
2023-04-21 20:31:09.078534,3.277662039,0.10055647,8.971074104,-0.10258805,0.021050537,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.275267839,0.10055647,8.971074104,-0.103120975,0.021316998,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.275267839,0.10295067,8.973467827,-0.10285452,0.02158346,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.277662039,0.10055647,8.971074104,-0.10285452,0.022116385,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.275267839,0.10055647,8.973467827,-0.10285452,0.022382848,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.275267839,0.098162271,8.968679428,-0.10285452,0.022649311,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.270479441,0.095768064,8.968679428,-0.103120975,0.023182238,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.270479441,0.093373865,8.966285706,-0.103120975,0.023448698,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.270479441,0.088585466,8.966285706,-0.103387438,0.023448698,-0.010924961,,,,,,
2023-04-21 20:31:09.078534,3.270479441,0.086191259,8.961497307,-0.103653908,0.023448698,-0.011191424,,,,,,
2023-04-21 20:31:09.078534,,,,,,,-3.100491285,-0.330399841,9.967061996,0.106584989,0.011457887,-0.016254211
2023-04-21 20:31:09.078534,,,,,,,-3.100491285,-0.328005642,9.96466732,0.106318533,0.011990812,-0.016520673
2023-04-21 20:31:09.078534,,,,,,,-3.102885485,-0.325611442,9.959878922,0.106318533,0.011724349,-0.016254211
